         Index            Ts             t             f             F             x         Phase            F0            x0            Tr            E'            E"            E*     tan_delta            D'            D"            D*          Eta'          Eta"          Eta*
           [#]          [°C]           [s]          [Hz]           [N]          [µm]         [rad]           [N]          [µm]          [°C]         [MPa]         [MPa]         [MPa]            []       [1/MPa]       [1/MPa]       [1/MPa]        [MPas]        [MPas]        [MPas]
             0   1.04500e+02   0.00000e+00   9.99999e-02   3.03980e-02   2.43950e+00   1.20140e-01   2.19262e+00   5.68176e+02   1.05000e+02   2.30364e+01   2.78313e+00   2.32039e+01   1.20815e-01   4.27851e-02   5.16907e-03   4.30962e-02   4.42949e+00   3.66636e+01   3.69302e+01
             1   1.04319e+02   5.41377e+01   1.12200e-01   3.01204e-02   2.42359e+00   9.99624e-02   2.19097e+00   5.68287e+02   1.05000e+02   2.30272e+01   2.31110e+00   2.31429e+01   1.00364e-01   4.29939e-02   4.31504e-03   4.32099e-02   3.27828e+00   3.26639e+01   3.28280e+01
             2   1.04243e+02   7.66572e+01   1.25890e-01   2.89665e-02   2.31565e+00   8.29691e-02   2.19000e+00   5.68374e+02   1.05000e+02   2.32137e+01   1.93152e+00   2.32939e+01   8.32059e-02   4.27818e-02   3.55970e-03   4.29297e-02   2.44190e+00   2.93477e+01   2.94491e+01
             3   1.04178e+02   9.86309e+01   1.41250e-01   2.83804e-02   2.25589e+00   7.03641e-02   2.18933e+00   5.68452e+02   1.05000e+02   2.33694e+01   1.64777e+00   2.34274e+01   7.05097e-02   4.25793e-02   3.00225e-03   4.26850e-02   1.85665e+00   2.63318e+01   2.63971e+01
             4   1.04118e+02   1.18221e+02   1.58480e-01   2.91115e-02   2.31388e+00   6.17485e-02   2.18883e+00   5.68513e+02   1.05000e+02   2.33840e+01   1.44615e+00   2.34287e+01   6.18437e-02   4.26013e-02   2.63462e-03   4.26827e-02   1.45231e+00   2.34836e+01   2.35285e+01
             5   1.04068e+02   1.35676e+02   1.77820e-01   2.87834e-02   2.27736e+00   5.68694e-02   2.18822e+00   5.68585e+02   1.05000e+02   2.34983e+01   1.33797e+00   2.35363e+01   5.69390e-02   4.24188e-02   2.41529e-03   4.24875e-02   1.19753e+00   2.10318e+01   2.10658e+01
             6   1.04023e+02   1.51518e+02   1.99520e-01   2.89881e-02   2.28569e+00   6.03745e-02   2.18770e+00   5.68654e+02   1.05000e+02   2.35743e+01   1.42526e+00   2.36173e+01   6.04581e-02   4.22646e-02   2.55524e-03   4.23418e-02   1.13691e+00   1.88050e+01   1.88393e+01
             7   1.03989e+02   1.65871e+02   2.23870e-01   2.89042e-02   2.27650e+00   6.38542e-02   2.18727e+00   5.68719e+02   1.05000e+02   2.35959e+01   1.50900e+00   2.36441e+01   6.39521e-02   4.22077e-02   2.69927e-03   4.22939e-02   1.07279e+00   1.67749e+01   1.68092e+01
             8   1.03960e+02   1.78753e+02   2.51180e-01   2.91567e-02   2.29135e+00   6.79382e-02   2.18686e+00   5.68785e+02   1.05000e+02   2.36415e+01   1.60891e+00   2.36961e+01   6.80546e-02   4.21036e-02   2.86534e-03   4.22010e-02   1.01945e+00   1.49799e+01   1.50146e+01
