         Index            Ts             t             f             F             x         Phase            F0            x0            Tr            E'            E"            E*     tan_delta            D'            D"            D*          Eta'          Eta"          Eta*
           [#]          [°C]           [s]          [Hz]           [N]          [µm]         [rad]           [N]          [µm]          [°C]         [MPa]         [MPa]         [MPa]            []       [1/MPa]       [1/MPa]       [1/MPa]        [MPas]        [MPas]        [MPas]
             0   8.85261e+01   0.00000e+00   9.99999e-02   3.67130e-02   2.50478e+00   2.76530e-01   2.47959e+00   5.25923e+02   9.00000e+01   2.62591e+01   7.46249e+00   2.72989e+01   2.84187e-01   3.52363e-02   1.00137e-02   3.66315e-02   1.18769e+01   4.17928e+01   4.34476e+01
             1   8.84177e+01   5.41377e+01   1.12200e-01   3.71261e-02   2.43898e+00   2.92378e-01   2.47476e+00   5.26491e+02   9.00000e+01   2.71458e+01   8.18280e+00   2.83523e+01   3.01439e-01   3.37696e-02   1.01795e-02   3.52705e-02   1.16073e+01   3.85062e+01   4.02176e+01
             2   8.83687e+01   7.66914e+01   1.25890e-01   3.69017e-02   2.34091e+00   3.10544e-01   2.47282e+00   5.26708e+02   9.00000e+01   2.79544e+01   8.98503e+00   2.93629e+01   3.21418e-01   3.24230e-02   1.04213e-02   3.40566e-02   1.13592e+01   3.53410e+01   3.71217e+01
             3   8.83213e+01   9.86748e+01   1.41250e-01   3.72479e-02   2.29001e+00   3.20668e-01   2.47207e+00   5.26784e+02   9.00000e+01   2.87494e+01   9.56379e+00   3.02984e+01   3.32660e-01   3.13176e-02   1.04181e-02   3.30050e-02   1.07761e+01   3.23938e+01   3.41391e+01
             4   8.82739e+01   1.19083e+02   1.58480e-01   3.84735e-02   2.29488e+00   3.43127e-01   2.47144e+00   5.26855e+02   9.00000e+01   2.94041e+01   1.05224e+01   3.12301e+01   3.57856e-01   3.01481e-02   1.07887e-02   3.20204e-02   1.05672e+01   2.95293e+01   3.13632e+01
             5   8.82383e+01   1.36526e+02   1.77820e-01   3.96275e-02   2.29166e+00   3.61776e-01   2.47052e+00   5.26962e+02   9.00000e+01   3.01215e+01   1.14188e+01   3.22133e+01   3.79092e-01   2.90273e-02   1.10040e-02   3.10431e-02   1.02202e+01   2.69598e+01   2.88320e+01
             6   8.82054e+01   1.52346e+02   1.99520e-01   4.07136e-02   2.28341e+00   3.81377e-01   2.46992e+00   5.27032e+02   9.00000e+01   3.08227e+01   1.23827e+01   3.32171e+01   4.01740e-01   2.79350e-02   1.12226e-02   3.01050e-02   9.87759e+00   2.45870e+01   2.64969e+01
             7   8.81767e+01   1.66700e+02   2.23870e-01   4.25523e-02   2.30915e+00   4.03161e-01   2.46963e+00   5.27066e+02   9.00000e+01   3.15699e+01   1.34910e+01   3.43317e+01   4.27338e-01   2.67844e-02   1.14460e-02   2.91276e-02   9.59113e+00   2.24439e+01   2.44074e+01
             8   8.81520e+01   1.79581e+02   2.51180e-01   4.34444e-02   2.27966e+00   4.25882e-01   2.46945e+00   5.27089e+02   9.00000e+01   3.23239e+01   1.46929e+01   3.55065e+01   4.54552e-01   2.56394e-02   1.16544e-02   2.81639e-02   9.30984e+00   2.04814e+01   2.24980e+01
             9   8.81331e+01   1.91134e+02   2.81830e-01   4.52065e-02   2.29001e+00   4.48851e-01   2.46918e+00   5.27129e+02   9.00000e+01   3.31249e+01   1.59876e+01   3.67813e+01   4.82647e-01   2.44850e-02   1.18176e-02   2.71877e-02   9.02855e+00   1.87063e+01   2.07712e+01
