         Index            Ts             t             f             F             x         Phase            F0            x0            Tr            E'            E"            E*     tan_delta            D'            D"            D*          Eta'          Eta"          Eta*
           [#]          [°C]           [s]          [Hz]           [N]          [µm]         [rad]           [N]          [µm]          [°C]         [MPa]         [MPa]         [MPa]            []       [1/MPa]       [1/MPa]       [1/MPa]        [MPas]        [MPas]        [MPas]
             0   3.74179e+01   0.00000e+00   9.99999e-02   2.68567e+00   2.23367e+00   1.49599e-02   5.52530e+00   6.85536e+01   4.00000e+01   2.55965e+03   4.36535e+01   2.56002e+03   1.70545e-02   3.90565e-04   6.66089e-06   3.90622e-04   6.94767e+01   4.07381e+03   4.07440e+03
             1   3.74020e+01   7.57661e+01   1.12200e-01   2.77573e+00   2.30630e+00   1.48342e-02   5.52527e+00   6.84016e+01   4.00000e+01   2.56254e+03   4.33439e+01   2.56291e+03   1.69144e-02   3.90126e-04   6.59875e-06   3.90182e-04   6.14832e+01   3.63495e+03   3.63547e+03
             2   3.73886e+01   9.82734e+01   1.25890e-01   2.77225e+00   2.30126e+00   1.47119e-02   5.52785e+00   6.83313e+01   4.00000e+01   2.56529e+03   4.30380e+01   2.56565e+03   1.67771e-02   3.89710e-04   6.53818e-06   3.89765e-04   5.44104e+01   3.24314e+03   3.24360e+03
             3   3.73756e+01   1.20258e+02   1.41250e-01   2.77016e+00   2.29733e+00   1.48651e-02   5.52905e+00   6.82870e+01   4.00000e+01   2.56810e+03   4.35405e+01   2.56847e+03   1.69544e-02   3.89281e-04   6.60002e-06   3.89337e-04   4.90598e+01   2.89364e+03   2.89405e+03
             4   3.73659e+01   1.39841e+02   1.58480e-01   2.77662e+00   2.30071e+00   1.44248e-02   5.52976e+00   6.82544e+01   4.00000e+01   2.57064e+03   4.22886e+01   2.57099e+03   1.64506e-02   3.88903e-04   6.39768e-06   3.88955e-04   4.24688e+01   2.58159e+03   2.58194e+03
             5   3.73523e+01   1.57295e+02   1.77820e-01   2.77596e+00   2.29788e+00   1.43286e-02   5.53049e+00   6.82164e+01   4.00000e+01   2.57357e+03   4.20527e+01   2.57391e+03   1.63403e-02   3.88462e-04   6.34756e-06   3.88514e-04   3.76387e+01   2.30343e+03   2.30374e+03
             6   3.73394e+01   1.73137e+02   1.99520e-01   2.78190e+00   2.30082e+00   1.42787e-02   5.53123e+00   6.81893e+01   4.00000e+01   2.57612e+03   4.19435e+01   2.57646e+03   1.62817e-02   3.88078e-04   6.31857e-06   3.88130e-04   3.34579e+01   2.05494e+03   2.05522e+03
             7   3.73291e+01   1.87491e+02   2.23870e-01   2.78350e+00   2.29994e+00   1.42672e-02   5.53188e+00   6.81703e+01   4.00000e+01   2.57894e+03   4.19497e+01   2.57929e+03   1.62662e-02   3.87653e-04   6.30564e-06   3.87704e-04   2.98231e+01   1.83344e+03   1.83368e+03
             8   3.73223e+01   2.00373e+02   2.51180e-01   2.78268e+00   2.29716e+00   1.42418e-02   5.53214e+00   6.81530e+01   4.00000e+01   2.58165e+03   4.19094e+01   2.58199e+03   1.62336e-02   3.87247e-04   6.28639e-06   3.87298e-04   2.65551e+01   1.63581e+03   1.63603e+03
             9   3.73119e+01   2.11924e+02   2.81830e-01   2.78981e+00   2.30089e+00   1.42291e-02   5.53223e+00   6.81378e+01   4.00000e+01   2.58442e+03   4.19045e+01   2.58476e+03   1.62143e-02   3.86833e-04   6.27222e-06   3.86884e-04   2.36643e+01   1.45947e+03   1.45967e+03
            10   3.73017e+01   2.22292e+02   3.16220e-01   2.79094e+00   2.29976e+00   1.42213e-02   5.53231e+00   6.81253e+01   4.00000e+01   2.58708e+03   4.19090e+01   2.58742e+03   1.61993e-02   3.86435e-04   6.25999e-06   3.86485e-04   2.10930e+01   1.30209e+03   1.30226e+03
            11   3.72858e+01   2.33715e+02   3.54809e-01   2.79121e+00   2.29795e+00   1.42196e-02   5.53241e+00   6.81149e+01   4.00000e+01   2.58970e+03   4.19269e+01   2.59004e+03   1.61899e-02   3.86044e-04   6.25001e-06   3.86095e-04   1.88069e+01   1.16165e+03   1.16180e+03
            12   3.72673e+01   2.44672e+02   3.98099e-01   2.79686e+00   2.30059e+00   1.42087e-02   5.53251e+00   6.81049e+01   4.00000e+01   2.59230e+03   4.19131e+01   2.59264e+03   1.61683e-02   3.85656e-04   6.23540e-06   3.85707e-04   1.67563e+01   1.03637e+03   1.03651e+03
            13   3.72569e+01   2.54510e+02   4.46679e-01   2.79995e+00   2.30112e+00   1.41730e-02   5.53263e+00   6.80949e+01   4.00000e+01   2.59490e+03   4.18211e+01   2.59524e+03   1.61167e-02   3.85271e-04   6.20929e-06   3.85322e-04   1.49011e+01   9.24580e+02   9.24700e+02
            14   3.72472e+01   2.67013e+02   5.01179e-01   2.80468e+00   2.30302e+00   1.41083e-02   5.53277e+00   6.80854e+01   4.00000e+01   2.59748e+03   4.16371e+01   2.59782e+03   1.60298e-02   3.84889e-04   6.16969e-06   3.84939e-04   1.32223e+01   8.24859e+02   8.24965e+02
            15   3.72315e+01   2.80188e+02   5.62339e-01   2.80647e+00   2.30250e+00   1.40549e-02   5.53291e+00   6.80771e+01   4.00000e+01   2.60006e+03   4.14809e+01   2.60039e+03   1.59538e-02   3.84509e-04   6.13439e-06   3.84558e-04   1.17401e+01   7.35877e+02   7.35970e+02
            16   3.72127e+01   2.91998e+02   6.30949e-01   2.81170e+00   2.30481e+00   1.40137e-02   5.53305e+00   6.80712e+01   4.00000e+01   2.60262e+03   4.13544e+01   2.60295e+03   1.58895e-02   3.84131e-04   6.10364e-06   3.84179e-04   1.04315e+01   6.56504e+02   6.56586e+02
            17   3.71942e+01   3.02599e+02   7.07939e-01   2.81146e+00   2.30265e+00   1.39894e-02   5.53319e+00   6.80687e+01   4.00000e+01   2.60517e+03   4.12712e+01   2.60549e+03   1.58421e-02   3.83757e-04   6.07950e-06   3.83805e-04   9.27837e+00   5.85679e+02   5.85752e+02
            18   3.71867e+01   3.13375e+02   7.94319e-01   2.81223e+00   2.30131e+00   1.39780e-02   5.53333e+00   6.80680e+01   4.00000e+01   2.60773e+03   4.12196e+01   2.60805e+03   1.58067e-02   3.83380e-04   6.05998e-06   3.83428e-04   8.25904e+00   5.22501e+02   5.22567e+02
            19   3.71844e+01   3.23051e+02   8.91249e-01   2.81371e+00   2.30053e+00   1.40013e-02   5.53349e+00   6.80682e+01   4.00000e+01   2.61033e+03   4.12642e+01   2.61066e+03   1.58080e-02   3.82997e-04   6.05444e-06   3.83045e-04   7.36877e+00   4.66141e+02   4.66199e+02
            20   3.71808e+01   3.31580e+02   9.99999e-01   2.81557e+00   2.30002e+00   1.40317e-02   5.53365e+00   6.80691e+01   4.00000e+01   2.61297e+03   4.13215e+01   2.61329e+03   1.58140e-02   3.82611e-04   6.05061e-06   3.82659e-04   6.57653e+00   4.15867e+02   4.15919e+02
            21   3.71760e+01   3.42018e+02   1.12202e+00   2.82288e+00   2.30396e+00   1.41183e-02   5.53382e+00   6.80713e+01   4.00000e+01   2.61561e+03   4.15373e+01   2.61594e+03   1.58806e-02   3.82224e-04   6.06993e-06   3.82272e-04   5.89195e+00   3.71016e+02   3.71063e+02
            22   3.71605e+01   3.51465e+02   1.25892e+00   2.82257e+00   2.30169e+00   1.42211e-02   5.53400e+00   6.80765e+01   4.00000e+01   2.61824e+03   4.17909e+01   2.61858e+03   1.59614e-02   3.81838e-04   6.09468e-06   3.81887e-04   5.28328e+00   3.31003e+02   3.31046e+02
            23   3.71292e+01   3.60670e+02   1.41253e+00   2.82607e+00   2.30254e+00   1.43360e-02   5.53418e+00   6.80850e+01   4.00000e+01   2.62085e+03   4.20680e+01   2.62118e+03   1.60513e-02   3.81458e-04   6.12290e-06   3.81507e-04   4.73996e+00   2.95301e+02   2.95339e+02
            24   3.71142e+01   3.69571e+02   1.58489e+00   2.82942e+00   2.30330e+00   1.44030e-02   5.53436e+00   6.80968e+01   4.00000e+01   2.62341e+03   4.21864e+01   2.62375e+03   1.60807e-02   3.81084e-04   6.12811e-06   3.81134e-04   4.23637e+00   2.63444e+02   2.63478e+02
            25   3.70974e+01   3.78141e+02   1.77828e+00   2.82993e+00   2.30176e+00   1.44475e-02   5.53454e+00   6.81128e+01   4.00000e+01   2.62597e+03   4.22206e+01   2.62631e+03   1.60781e-02   3.80713e-04   6.12112e-06   3.80762e-04   3.77872e+00   2.35023e+02   2.35054e+02
