         Index            Ts             t             f             F             x         Phase            F0            x0            Tr            G'            G"            G*     tan_delta            J'            J"            J*          Eta'          Eta"          Eta*
           [#]          [°C]           [s]          [Hz]           [N]          [µm]         [rad]           [N]          [µm]          [°C]         [MPa]         [MPa]         [MPa]            []       [1/MPa]       [1/MPa]       [1/MPa]        [MPas]        [MPas]        [MPas]
             0  -8.01298e+01   0.00000e+00   9.99999e-04   6.45504e-02   4.03022e-01  -2.62526e+00  -1.31732e-01  -1.24960e+01  -1.00000e+02  -5.44363e-01  -3.05749e-01   6.24350e-01   5.61664e-01  -1.39647e+00  -7.84347e-01   1.60166e+00  -4.86616e+01  -8.66382e+01   9.93686e+01
             1  -8.36719e+01   1.16620e+03   1.77000e-03   6.59336e-02   2.73005e-01  -1.40176e+00  -1.37976e-01  -1.36711e+01  -1.00000e+02   1.54864e-01  -9.29881e-01   9.42688e-01  -6.00452e+00   1.74266e-01  -1.04638e+00   1.06080e+00  -8.36132e+01   1.39250e+01   8.47648e+01
             2  -9.01063e+01   1.82788e+03   3.16000e-03   2.44352e-02   2.76470e-02  -6.91885e-01  -1.26383e-01  -1.42556e+01  -1.00000e+02   2.65701e+00  -2.22584e+00   3.46613e+00  -8.37725e-01   2.21158e-01  -1.85270e-01   2.88506e-01  -1.12106e+02   1.33822e+02   1.74574e+02
             3  -8.79994e+01   2.20246e+03   5.61999e-03   1.37609e-02   7.66056e-03  -2.87936e-01  -1.21970e-01  -1.44053e+01  -1.00000e+02   6.79795e+00  -2.04680e+00   7.09941e+00  -3.01091e-01   1.34876e-01  -4.06099e-02   1.40857e-01  -5.79643e+01   1.92514e+02   2.01051e+02
             4  -8.61392e+01   2.41581e+03   9.99998e-03   2.01398e-02   8.18197e-03  -7.39694e-01  -1.20498e-01  -1.44717e+01  -1.00000e+02   7.10618e+00  -6.65290e+00   9.73442e+00  -9.36214e-01   7.49922e-02  -7.02088e-02   1.02728e-01  -1.05884e+02   1.13098e+02   1.54928e+02
             5  -8.55307e+01   2.53793e+03   1.77800e-02   1.34401e-02   2.98692e-03   1.66684e-01  -1.19706e-01  -1.46221e+01  -1.00000e+02   1.78821e+01   3.10865e+00   1.81503e+01   1.73841e-01   5.42814e-02   9.43634e-03   5.50955e-02   2.78266e+01   1.60069e+02   1.62470e+02
             6  -8.55534e+01   2.60817e+03   3.16200e-02   1.39131e-02   2.08497e-03   3.70146e-01  -1.18536e-01  -1.46919e+01  -1.00000e+02   2.52486e+01   1.03373e+01   2.72828e+01   4.09423e-01   3.39202e-02   1.38877e-02   3.66531e-02   5.20317e+01   1.27086e+02   1.37325e+02
             7  -8.57164e+01   2.64962e+03   5.62299e-02   1.45509e-02   1.60590e-03   3.91868e-01  -1.17357e-01  -1.46765e+01  -1.00000e+02   3.44069e+01   1.53191e+01   3.76631e+01   4.45235e-01   2.42556e-02   1.07994e-02   2.65512e-02   4.33598e+01   9.73864e+01   1.06603e+02
             8  -8.63763e+01   2.73241e+03   9.99999e-02   4.99927e+00   4.58094e-01   2.64315e-01  -1.17821e-01  -1.46188e+01  -1.00000e+02   4.42615e+01   1.30619e+01   4.61486e+01   2.95107e-01   2.07830e-02   6.13321e-03   2.16691e-02   2.07886e+01   7.04445e+01   7.34479e+01
             9  -8.70006e+01   2.78568e+03   1.77820e-01   4.99689e+00   4.15511e-01   1.75707e-01  -1.19604e-01  -1.45587e+01  -1.00000e+02   5.04449e+01   9.83545e+00   5.13948e+01   1.94974e-01   1.90976e-02   3.72354e-03   1.94572e-02   8.80308e+00   4.51500e+01   4.60002e+01
            10  -8.71777e+01   2.79859e+03   3.16220e-01   4.99829e+00   4.01027e-01   1.13696e-01  -1.21303e-01  -1.45139e+01  -1.00000e+02   5.30863e+01   6.67186e+00   5.35039e+01   1.25680e-01   1.85443e-02   2.33064e-03   1.86902e-02   3.35798e+00   2.67186e+01   2.69288e+01
            11  -8.73414e+01   2.81054e+03   5.62339e-01   4.99898e+00   4.02976e-01   8.17752e-02  -1.22836e-01  -1.44821e+01  -1.00000e+02   5.30313e+01   4.77466e+00   5.32458e+01   9.00348e-02   1.87052e-02   1.68412e-03   1.87808e-02   1.35134e+00   1.50091e+01   1.50698e+01
            12  -8.74591e+01   2.81927e+03   9.99999e-01   4.99656e+00   4.06571e-01   6.98397e-02  -1.24266e-01  -1.44602e+01  -1.00000e+02   5.25514e+01   4.02609e+00   5.27054e+01   7.66124e-02   1.89179e-02   1.44935e-03   1.89734e-02   6.40773e-01   8.36383e+00   8.38834e+00
            13  -8.75887e+01   2.82826e+03   1.77828e+00   4.99993e+00   4.06936e-01   7.29319e-02  -1.25306e-01  -1.44487e+01  -1.00000e+02   5.25244e+01   4.19117e+00   5.26914e+01   7.97946e-02   1.89183e-02   1.50958e-03   1.89784e-02   3.75107e-01   4.70091e+00   4.71585e+00
