         Index            Ts             t             f             F             x         Phase            F0            x0            Tr            G'            G"            G*     tan_delta            J'            J"            J*          Eta'          Eta"          Eta*
           [#]          [°C]           [s]          [Hz]           [N]          [µm]         [rad]           [N]          [µm]          [°C]         [MPa]         [MPa]         [MPa]            []       [1/MPa]       [1/MPa]       [1/MPa]        [MPas]        [MPas]        [MPas]
             0  -6.23661e+01   0.00000e+00   9.99999e-04   7.69088e-02   4.49325e-01  -3.00246e+00  -8.26978e-02  -8.70039e+00  -6.00000e+01  -6.61014e-01  -8.97568e-02   6.67080e-01   1.35787e-01  -1.48544e+00  -2.01703e-01   1.49907e+00  -1.42853e+01  -1.05204e+02   1.06169e+02
             1  -6.26691e+01   1.16541e+03   1.77000e-03   2.00989e-02   1.39152e-01  -6.89537e-01  -8.65106e-02  -8.94848e+00  -6.00000e+01   4.34157e-01  -3.60135e-01   5.64083e-01  -8.29504e-01   1.36446e+00  -1.13183e+00   1.77279e+00  -3.23827e+01   3.90386e+01   5.07213e+01
             2  -5.97813e+01   1.82635e+03   3.16000e-03   2.67863e-02   1.10091e-01   1.67995e-01  -8.89300e-02  -9.03774e+00  -6.00000e+01   9.37873e-01   1.58123e-01   9.51109e-01   1.68597e-01   1.03677e+00   1.74797e-01   1.05140e+00   7.96394e+00   4.72365e+01   4.79031e+01
             3  -6.27795e+01   2.20093e+03   5.61999e-03   2.30481e-02   5.11889e-02  -1.74453e-01  -8.51573e-02  -9.15894e+00  -6.00000e+01   1.73556e+00  -3.08195e-01   1.76271e+00  -1.77577e-01   5.58570e-01  -9.91890e-02   5.67309e-01  -8.72789e+00   4.91500e+01   4.99189e+01
             4  -6.21605e+01   2.41427e+03   9.99998e-03   2.46791e-02   3.59465e-02  -3.00094e-01  -8.28117e-02  -9.29874e+00  -6.00000e+01   2.57017e+00  -8.00677e-01   2.69200e+00  -3.11527e-01   3.54659e-01  -1.10486e-01   3.71471e-01  -1.27432e+01   4.09057e+01   4.28446e+01
             5  -6.14359e+01   2.53635e+03   1.77800e-02   1.55072e-02   1.42998e-02   1.02801e+00  -8.21141e-02  -9.39956e+00  -6.00000e+01   2.17056e+00   3.65280e+00   4.24903e+00   1.68288e+00   1.20224e-01   2.02323e-01   2.35348e-01   3.26975e+01   1.94295e+01   3.80346e+01
             6  -6.07599e+01   2.60659e+03   3.16200e-02   1.41799e-02   7.90621e-03   5.09317e-01  -8.10297e-02  -9.48531e+00  -6.00000e+01   6.15922e+00   3.49133e+00   7.07993e+00   5.66846e-01   1.22876e-01   6.96519e-02   1.41244e-01   1.75731e+01   3.10016e+01   3.56359e+01
             7  -6.02491e+01   2.64807e+03   5.62299e-02   1.26641e-02   4.44355e-03   2.38854e-01  -8.05855e-02  -9.51821e+00  -6.00000e+01   1.10163e+01   2.74060e+00   1.13521e+01   2.48776e-01   8.54838e-02   2.12663e-02   8.80893e-02   7.75708e+00   3.11810e+01   3.21314e+01
             8  -5.95155e+01   2.73084e+03   9.99999e-02   4.99643e+00   1.15385e+00   1.05945e-01  -7.99473e-02  -9.54115e+00  -6.00000e+01   1.73454e+01   1.90436e+00   1.74496e+01   1.09791e-01   5.69656e-02   6.25429e-03   5.73079e-02   3.03089e+00   2.76061e+01   2.77720e+01
             9  -5.97048e+01   2.78411e+03   1.77820e-01   4.99824e+00   8.21435e-01   8.42575e-02  -7.96154e-02  -9.56579e+00  -6.00000e+01   2.47550e+01   2.18716e+00   2.48514e+01   8.83525e-02   4.00831e-02   3.54144e-03   4.02392e-02   1.95759e+00   2.21566e+01   2.22429e+01
