         Index            Ts             t             f             F             x         Phase            F0            x0            Tr            G'            G"            G*     tan_delta            J'            J"            J*          Eta'          Eta"          Eta*
           [#]          [°C]           [s]          [Hz]           [N]          [µm]         [rad]           [N]          [µm]          [°C]         [MPa]         [MPa]         [MPa]            []       [1/MPa]       [1/MPa]       [1/MPa]        [MPas]        [MPas]        [MPas]
             0   1.22204e+02   0.00000e+00   9.99999e-04   1.02842e-02   2.70556e+00   1.84653e+00   5.43994e-01  -7.15446e+01   1.20000e+02  -3.98147e-03   1.42881e-02   1.48325e-02  -3.58864e+00  -1.80975e+01   6.49454e+01   6.74197e+01   2.27402e+00  -6.33672e-01   2.36066e+00
             1   1.22167e+02   1.16541e+03   1.77000e-03   6.07628e-03   2.54502e+00   1.70969e+00   5.43665e-01  -7.15038e+01   1.20000e+02  -1.26913e-03   9.22956e-03   9.31641e-03  -7.27236e+00  -1.46221e+01   1.06337e+02   1.07337e+02   8.29906e-01  -1.14118e-01   8.37715e-01
             2   1.22185e+02   1.82635e+03   3.16000e-03   7.54128e-03   3.00394e+00   1.60457e+00   5.44621e-01  -7.16567e+01   1.20000e+02  -3.18562e-04   9.79101e-03   9.79619e-03  -3.07350e+01  -3.31956e+00   1.02026e+02   1.02080e+02   4.93130e-01  -1.60446e-02   4.93391e-01
             3   1.22169e+02   2.20088e+03   5.61999e-03   9.79294e-03   2.83177e+00   1.53785e+00   5.45007e-01  -7.17174e+01   1.20000e+02   4.53850e-04   1.34869e-02   1.34946e-02   2.97167e+01   2.49227e+00   7.40620e+01   7.41039e+01   3.81942e-01   1.28528e-02   3.82158e-01
             4   1.22170e+02   2.41421e+03   9.99998e-03   1.31971e-02   2.88924e+00   1.12557e+00   5.45301e-01  -7.17640e+01   1.20000e+02   7.68209e-03   1.60835e-02   1.78240e-02   2.09364e+00   2.41808e+01   5.06258e+01   5.61043e+01   2.55977e-01   1.22264e-01   2.83678e-01
             5   1.22175e+02   2.53630e+03   1.77800e-02   1.85805e-02   3.40129e+00   1.06523e+00   5.45632e-01  -7.18168e+01   1.20000e+02   1.03275e-02   1.86483e-02   2.13170e-02   1.80570e+00   2.27269e+01   4.10379e+01   4.69108e+01   1.66928e-01   9.24451e-02   1.90816e-01
             6   1.22172e+02   2.60664e+03   3.16200e-02   2.17460e-02   2.91981e+00   9.92653e-01   5.46034e-01  -7.18794e+01   1.20000e+02   1.58843e-02   2.43383e-02   2.90631e-02   1.53223e+00   1.88055e+01   2.88142e+01   3.44079e+01   1.22504e-01   7.99513e-02   1.46285e-01
             7   1.22171e+02   2.64819e+03   5.62299e-02   3.05177e-02   2.95745e+00   9.29335e-01   5.46336e-01  -7.19265e+01   1.20000e+02   2.40957e-02   3.22628e-02   4.02678e-02   1.33894e+00   1.48602e+01   1.98970e+01   2.48338e+01   9.13177e-02   6.82013e-02   1.13975e-01
             8   1.22170e+02   2.67292e+03   9.99999e-02   4.28966e-02   2.96531e+00   8.78163e-01   5.46477e-01  -7.19484e+01   1.20000e+02   3.60482e-02   4.34447e-02   5.64528e-02   1.20518e+00   1.13113e+01   1.36322e+01   1.77139e+01   6.91445e-02   5.73726e-02   8.98475e-02
