         Index            Ts             t             f             F             x         Phase            F0            x0            Tr            G'            G"            G*     tan_delta            J'            J"            J*          Eta'          Eta"          Eta*
           [#]          [°C]           [s]          [Hz]           [N]          [µm]         [rad]           [N]          [µm]          [°C]         [MPa]         [MPa]         [MPa]            []       [1/MPa]       [1/MPa]       [1/MPa]        [MPas]        [MPas]        [MPas]
             0   1.01414e+02   0.00000e+00   9.99999e-04   6.16930e-03   1.87420e+00   1.39371e+00   5.01700e-01  -6.67192e+01   1.00000e+02   2.31301e-03   1.26348e-02   1.28447e-02   5.46248e+00   1.40193e+01   7.65802e+01   7.78529e+01   2.01089e+00   3.68127e-01   2.04431e+00
             1   1.01408e+02   1.16541e+03   1.77000e-03   8.17294e-03   1.74446e+00   1.03927e+00   5.17160e-01  -6.90824e+01   1.00000e+02   9.30144e-03   1.57391e-02   1.82822e-02   1.69212e+00   2.78289e+01   4.70897e+01   5.46981e+01   1.41523e+00   8.36369e-01   1.64390e+00
             2   1.01410e+02   1.82635e+03   3.16000e-03   1.77207e-02   2.69379e+00   8.46105e-01   5.24206e-01  -7.01631e+01   1.00000e+02   1.70407e-02   1.91987e-02   2.56705e-02   1.12663e+00   2.58594e+01   2.91341e+01   3.89552e+01   9.66953e-01   8.58267e-01   1.29291e+00
             3   1.01400e+02   2.20088e+03   5.61999e-03   2.56737e-02   2.89574e+00   8.20733e-01   5.26977e-01  -7.05896e+01   1.00000e+02   2.36018e-02   2.52978e-02   3.45980e-02   1.07186e+00   1.97171e+01   2.11339e+01   2.89034e+01   7.16419e-01   6.68389e-01   9.79795e-01
             4   1.01395e+02   2.41421e+03   9.99998e-03   3.61855e-02   3.05116e+00   8.10381e-01   5.29194e-01  -7.09293e+01   1.00000e+02   3.19090e-02   3.35217e-02   4.62805e-02   1.05054e+00   1.48976e+01   1.56506e+01   2.16074e+01   5.33515e-01   5.07848e-01   7.36578e-01
             5   1.01391e+02   2.53717e+03   1.77800e-02   4.74632e-02   2.93418e+00   7.62008e-01   5.32192e-01  -7.13886e+01   1.00000e+02   4.56753e-02   4.35741e-02   6.31263e-02   9.53998e-01   1.14620e+01   1.09347e+01   1.58412e+01   3.90048e-01   4.08856e-01   5.65067e-01
             6   1.01395e+02   2.60751e+03   3.16200e-02   6.30930e-02   2.92358e+00   7.81412e-01   5.34107e-01  -7.16824e+01   1.00000e+02   5.97915e-02   5.93138e-02   8.42208e-02   9.92012e-01   8.42946e+00   8.36213e+00   1.18735e+01   2.98549e-01   3.00953e-01   4.23915e-01
             7   1.01394e+02   2.64907e+03   5.62299e-02   8.57544e-02   2.99258e+00   7.78786e-01   5.34916e-01  -7.18071e+01   1.00000e+02   7.95960e-02   7.85599e-02   1.11835e-01   9.86984e-01   6.36402e+00   6.28119e+00   8.94171e+00   2.22358e-01   2.25291e-01   3.16543e-01
             8   1.01395e+02   2.67491e+03   9.99999e-02   1.13641e-01   3.01066e+00   7.53799e-01   5.35288e-01  -7.18646e+01   1.00000e+02   1.07399e-01   1.00842e-01   1.47322e-01   9.38947e-01   4.94843e+00   4.64631e+00   6.78787e+00   1.60495e-01   1.70931e-01   2.34470e-01
             9   1.01394e+02   2.69358e+03   1.77820e-01   1.50392e-01   3.05672e+00   7.18260e-01   5.35513e-01  -7.18992e+01   1.00000e+02   1.44575e-01   1.26400e-01   1.92039e-01   8.74288e-01   3.92026e+00   3.42744e+00   5.20728e+00   1.13133e-01   1.29400e-01   1.71881e-01
            10   1.01393e+02   2.70645e+03   3.16220e-01   1.90715e-01   3.01248e+00   6.74457e-01   5.35757e-01  -7.19362e+01   1.00000e+02   1.92989e-01   1.54362e-01   2.47129e-01   7.99847e-01   3.16000e+00   2.52752e+00   4.04648e+00   7.76912e-02   9.71325e-02   1.24381e-01
            11   1.01393e+02   2.71838e+03   5.62339e-01   2.44345e-01   3.04740e+00   6.24199e-01   5.35950e-01  -7.19657e+01   1.00000e+02   2.53968e-01   1.82995e-01   3.13029e-01   7.20544e-01   2.59185e+00   1.86754e+00   3.19459e+00   5.17919e-02   7.18789e-02   8.85945e-02
            12   1.01393e+02   2.72709e+03   9.99999e-01   3.04204e-01   3.04859e+00   5.70530e-01   5.36042e-01  -7.19801e+01   1.00000e+02   3.27883e-01   2.10462e-01   3.89617e-01   6.41881e-01   2.15995e+00   1.38643e+00   2.56662e+00   3.34961e-02   5.21843e-02   6.20096e-02
            13   1.01393e+02   2.73607e+03   1.77828e+00   3.75302e-01   3.08109e+00   5.15203e-01   5.36085e-01  -7.19869e+01   1.00000e+02   4.13948e-01   2.34354e-01   4.75684e-01   5.66143e-01   1.82940e+00   1.03570e+00   2.10224e+00   2.09745e-02   3.70482e-02   4.25734e-02
            14   1.01392e+02   2.74382e+03   3.16228e+00   4.44566e-01   3.04903e+00   4.60587e-01   5.36112e-01  -7.19910e+01   1.00000e+02   5.10254e-01   2.52926e-01   5.69501e-01   4.95687e-01   1.57325e+00   7.79839e-01   1.75592e+00   1.27296e-02   2.56807e-02   2.86626e-02
            15   1.01393e+02   2.75130e+03   5.62341e+00   5.26330e-01   3.07241e+00   4.08726e-01   5.36123e-01  -7.19925e+01   1.00000e+02   6.14389e-01   2.65336e-01   6.69236e-01   4.31870e-01   1.37178e+00   5.92431e-01   1.49424e+00   7.50960e-03   1.73886e-02   1.89409e-02
            16   1.01393e+02   2.75857e+03   1.00000e+01   6.05505e-01   3.06011e+00   3.61052e-01   5.36136e-01  -7.19943e+01   1.00000e+02   7.23909e-01   2.71497e-01   7.73146e-01   3.75043e-01   1.21105e+00   4.54194e-01   1.29342e+00   4.32100e-03   1.15214e-02   1.23050e-02
            17   1.01393e+02   2.76565e+03   1.77828e+01   6.87680e-01   3.05045e+00   3.19630e-01   5.36191e-01  -7.20023e+01   1.00000e+02   8.37560e-01   2.73145e-01   8.80973e-01   3.26120e-01   1.07917e+00   3.51939e-01   1.13511e+00   2.44463e-03   7.49611e-03   7.88466e-03
            18   1.01396e+02   2.77260e+03   3.16228e+01   7.62876e-01   3.05597e+00   2.95801e-01   5.36271e-01  -7.20141e+01   1.00000e+02   9.35414e-01   2.76707e-01   9.75483e-01   2.95812e-01   9.83026e-01   2.90791e-01   1.02513e+00   1.39265e-03   4.70787e-03   4.90953e-03
            19   1.01396e+02   2.77946e+03   5.62341e+01   8.44291e-01   3.02405e+00   2.73519e-01   5.36408e-01  -7.20347e+01   1.00000e+02   1.05415e+00   2.78795e-01   1.09039e+00   2.64474e-01   8.86617e-01   2.34487e-01   9.17101e-01   7.89050e-04   2.98347e-03   3.08605e-03
            20   1.01395e+02   2.78634e+03   1.00000e+02   9.25268e-01   2.99193e+00   2.60258e-01   5.36578e-01  -7.20603e+01   1.00000e+02   1.17251e+00   2.78547e-01   1.20514e+00   2.37565e-01   8.07311e-01   1.91789e-01   8.29779e-01   4.43321e-04   1.86610e-03   1.91804e-03
            21   1.01394e+02   2.79319e+03   1.77828e+02   1.01223e+00   2.98605e+00   2.61315e-01   5.36775e-01  -7.20899e+01   1.00000e+02   1.28152e+00   2.77019e-01   1.31112e+00   2.16165e-01   7.45490e-01   1.61149e-01   7.62709e-01   2.47931e-04   1.14695e-03   1.17344e-03
            22   1.01395e+02   2.80001e+03   3.16228e+02   1.10750e+00   3.02807e+00   2.67733e-01   5.37038e-01  -7.21298e+01   1.00000e+02   1.35755e+00   2.48885e-01   1.38017e+00   1.83334e-01   7.12668e-01   1.30657e-01   7.24546e-01   1.25262e-04   6.83243e-04   6.94631e-04
            23   1.01395e+02   2.80697e+03   5.62341e+02   1.31853e+00   2.98932e+00   2.92959e-01   5.37420e-01  -7.21883e+01   1.00000e+02   1.51785e+00   2.13682e-01   1.53281e+00   1.40779e-01   6.46024e-01   9.09469e-02   6.52395e-01   6.04766e-05   4.29584e-04   4.33820e-04
£]12[JJA01-02
