         Index            Ts             t             f             F             x         Phase            F0            x0            Tr            G'            G"            G*     tan_delta            J'            J"            J*          Eta'          Eta"          Eta*
           [#]          [°C]           [s]          [Hz]           [N]          [µm]         [rad]           [N]          [µm]          [°C]         [MPa]         [MPa]         [MPa]            []       [1/MPa]       [1/MPa]       [1/MPa]        [MPas]        [MPas]        [MPas]
             0  -9.25948e-01   0.00000e+00   9.99999e-04   1.71138e-02   2.54768e-02   2.66859e-01  -5.65867e-02   2.97422e+00   0.00000e+00   2.54245e+00   6.87654e-01   2.63380e+00   2.70469e-01   3.66510e-01   9.91299e-02   3.79680e-01   1.09444e+02   4.04643e+02   4.19183e+02
             1  -1.43041e+00   1.16543e+03   1.77000e-03   3.40580e-02   1.71191e-02   9.92991e-01  -5.25060e-02   2.84283e+00   0.00000e+00   4.20785e+00   6.59774e+00   7.82536e+00   1.56796e+00   6.87151e-02   1.07742e-01   1.27790e-01   5.93257e+02   3.78362e+02   7.03642e+02
             2  -8.98519e-01   1.82637e+03   3.16000e-03   2.37713e-02   8.79367e-03   9.47654e-01  -5.26079e-02   2.81274e+00   0.00000e+00   6.09637e+00   8.75808e+00   1.06710e+01   1.43660e+00   5.35382e-02   7.69132e-02   9.37122e-02   4.41105e+02   3.07047e+02   5.37450e+02
             3  -1.18027e+00   2.20089e+03   5.61999e-03   1.63307e-02   4.88512e-03   4.63567e-01  -5.35736e-02   2.79447e+00   0.00000e+00   1.18663e+01   6.08866e+00   1.33372e+01   5.13104e-01   6.67092e-02   3.42288e-02   7.49782e-02   1.72427e+02   3.36047e+02   3.77702e+02
             4  -1.40389e+00   2.41423e+03   9.99998e-03   1.69338e-02   4.05925e-03   4.52832e-01  -5.41190e-02   2.77624e+00   0.00000e+00   1.49522e+01   7.52421e+00   1.67387e+01   5.03217e-01   5.33660e-02   2.68547e-02   5.97420e-02   1.19752e+02   2.37972e+02   2.66404e+02
             5  -1.54486e+00   2.53631e+03   1.77800e-02   1.65864e-02   2.95693e-03   4.88823e-01  -5.42409e-02   2.75080e+00   0.00000e+00   1.98356e+01   1.10609e+01   2.27111e+01   5.57630e-01   3.84564e-02   2.14445e-02   4.40314e-02   9.90102e+01   1.77555e+02   2.03295e+02
             6  -1.62775e+00   2.60655e+03   3.16200e-02   1.87759e-02   2.87045e-03   4.07388e-01  -5.46230e-02   2.73444e+00   0.00000e+00   2.42991e+01   1.10613e+01   2.66983e+01   4.55213e-01   3.40897e-02   1.55181e-02   3.74556e-02   5.56755e+01   1.22306e+02   1.34382e+02
             7  -1.66576e+00   2.64801e+03   5.62299e-02   1.59290e-02   2.11985e-03   3.88371e-01  -5.52456e-02   2.72401e+00   0.00000e+00   2.83299e+01   1.23241e+01   3.08945e+01   4.35020e-01   2.96814e-02   1.29120e-02   3.23682e-02   3.48825e+01   8.01860e+01   8.74447e+01
             8  -1.69434e+00   2.72484e+03   9.99999e-02   5.00046e+00   5.80375e-01   3.95490e-01  -5.57066e-02   2.71305e+00   0.00000e+00   3.25744e+01   1.45990e+01   3.56962e+01   4.48175e-01   2.55642e-02   1.14572e-02   2.80142e-02   2.32351e+01   5.18438e+01   5.68124e+01
             9  -1.70125e+00   2.77811e+03   1.77820e-01   4.99857e+00   5.13963e-01   3.75558e-01  -5.59152e-02   2.70226e+00   0.00000e+00   3.73744e+01   1.59593e+01   4.06392e+01   4.27012e-01   2.26299e-02   9.66326e-03   2.46068e-02   1.42842e+01   3.34514e+01   3.63735e+01
