         Index            Ts             t             f             F             x         Phase            F0            x0            Tr            G'            G"            G*     tan_delta            J'            J"            J*          Eta'          Eta"          Eta*
           [#]          [°C]           [s]          [Hz]           [N]          [µm]         [rad]           [N]          [µm]          [°C]         [MPa]         [MPa]         [MPa]            []       [1/MPa]       [1/MPa]       [1/MPa]        [MPas]        [MPas]        [MPas]
             0  -4.16652e+01   0.00000e+00   9.99999e-04   5.19685e-02   3.40284e-01  -1.29523e+00  -9.72288e-02  -5.70110e+00  -4.00000e+01   1.59280e-01  -5.74446e-01   5.96119e-01  -3.60651e+00   4.48224e-01  -1.61653e+00   1.67752e+00  -9.14260e+01   2.53502e+01   9.48755e+01
             1  -4.23279e+01   1.16618e+03   1.77000e-03   4.33590e-02   1.98606e-01  -1.33379e+00  -8.11699e-02  -5.70966e+00  -4.00000e+01   1.96930e-01  -8.29154e-01   8.52219e-01  -4.21039e+00   2.71150e-01  -1.14165e+00   1.17341e+00  -7.45560e+01   1.77076e+01   7.66300e+01
             2  -4.24208e+01   1.82717e+03   3.16000e-03   5.90838e-02   1.06337e-01  -1.36998e+00  -7.37363e-02  -5.72542e+00  -4.00000e+01   4.21597e-01  -2.12852e+00   2.16987e+00  -5.04872e+00   8.95423e-02  -4.52074e-01   4.60856e-01  -1.07204e+02   2.12339e+01   1.09287e+02
             3  -4.24155e+01   2.20173e+03   5.61999e-03   2.36101e-02   1.73006e-02  -1.49338e+00  -7.04151e-02  -5.67001e+00  -4.00000e+01   3.55144e-01  -5.31723e+00   5.32908e+00  -1.49720e+01   1.25055e-02  -1.87233e-01   1.87650e-01  -1.50581e+02   1.00575e+01   1.50916e+02
             4  -4.23562e+01   2.41507e+03   9.99998e-03   2.01105e-02   6.72568e-03  -8.27504e-01  -6.82519e-02  -5.67115e+00  -4.00000e+01   7.86598e+00  -8.85259e+00   1.18424e+01  -1.12543e+00   5.60886e-02  -6.31237e-02   8.44425e-02  -1.40894e+02   1.25191e+02   1.88478e+02
             5  -4.22491e+01   2.53715e+03   1.77800e-02   1.15700e-02   1.97452e-03  -3.36048e-01  -6.50002e-02  -5.66049e+00  -4.00000e+01   2.23781e+01  -8.19648e+00   2.38319e+01  -3.66272e-01   3.94007e-02  -1.44314e-02   4.19605e-02  -7.33696e+01   2.00314e+02   2.13328e+02
             6  -4.20478e+01   2.60741e+03   3.16200e-02   1.53402e-02   1.44839e-03  -2.32606e-01  -6.31079e-02  -5.64766e+00  -4.00000e+01   4.32946e+01  -1.11552e+01   4.47086e+01  -2.57658e-01   2.16596e-02  -5.58078e-03   2.23671e-02  -5.61482e+01   2.17918e+02   2.25035e+02
             7  -4.18745e+01   2.64886e+03   5.62299e-02   1.85003e-02   1.17323e-03  -2.23056e-02  -6.24088e-02  -5.64392e+00  -4.00000e+01   6.95772e+01  -1.76268e+00   6.95996e+01  -2.53341e-02   1.43633e-02  -3.63882e-04   1.43679e-02  -4.98914e+00   1.96934e+02   1.96997e+02
             8  -4.14194e+01   2.73325e+03   9.99999e-02   4.99653e+00   5.48847e-01   1.97571e-01  -6.24334e-02  -5.68781e+00  -4.00000e+01   3.71681e+01   7.98274e+00   3.80157e+01   2.14774e-01   2.57184e-02   5.52365e-03   2.63049e-02   1.27050e+01   5.91550e+01   6.05040e+01
             9  -4.10599e+01   2.78650e+03   1.77820e-01   5.00462e+00   5.44595e-01   1.89841e-01  -6.00018e-02  -5.81135e+00  -4.00000e+01   3.76124e+01   7.75847e+00   3.84043e+01   2.06274e-01   2.55019e-02   5.26038e-03   2.60388e-02   6.94411e+00   3.36645e+01   3.43732e+01
            10  -4.09503e+01   2.79942e+03   3.16220e-01   4.99706e+00   5.33704e-01   1.83393e-01  -5.87652e-02  -5.85209e+00  -4.00000e+01   3.84289e+01   7.66006e+00   3.91849e+01   1.99331e-01   2.50277e-02   4.98879e-03   2.55201e-02   3.85535e+00   1.93414e+01   1.97219e+01
            11  -4.08569e+01   2.81137e+03   5.62339e-01   4.99984e+00   5.22334e-01   1.78225e-01  -5.81081e-02  -5.87886e+00  -4.00000e+01   3.93949e+01   7.63594e+00   4.01281e+01   1.93831e-01   2.44648e-02   4.74204e-03   2.49202e-02   2.16115e+00   1.11497e+01   1.13572e+01
