         Index            Ts             t             f             F             x         Phase            F0            x0            Tr            G'            G"            G*     tan_delta            J'            J"            J*          Eta'          Eta"          Eta*
           [#]          [°C]           [s]          [Hz]           [N]          [µm]         [rad]           [N]          [µm]          [°C]         [MPa]         [MPa]         [MPa]            []       [1/MPa]       [1/MPa]       [1/MPa]        [MPas]        [MPas]        [MPas]
             0  -1.01275e+02   0.00000e+00   9.99999e-04   1.55243e-02   5.34505e-02   2.86790e+00  -1.36898e-01  -2.66471e+01  -1.20000e+02  -1.08788e+00   3.09416e-01   1.13102e+00  -2.84422e-01  -8.50426e-01   2.41880e-01   8.84155e-01   4.92451e+01  -1.73141e+02   1.80008e+02
             1  -1.01310e+02   1.16543e+03   1.77000e-03   1.54048e-02   2.23106e-02   1.47836e+00  -1.41928e-01  -2.64910e+01  -1.20000e+02   2.41303e-01   2.68476e+00   2.69558e+00   1.11261e+01   3.32092e-02   3.69488e-01   3.70978e-01   2.41409e+02   2.16975e+01   2.42382e+02
             2  -1.01303e+02   1.82637e+03   3.16000e-03   3.31459e-02   5.64465e-02   8.43852e-01  -1.41401e-01  -2.62148e+01  -1.20000e+02   1.52382e+00   1.72006e+00   2.29796e+00   1.12878e+00   2.88568e-01   3.25729e-01   4.35168e-01   8.66316e+01   7.67482e+01   1.15738e+02
             3  -1.01260e+02   2.20089e+03   5.61999e-03   3.03180e-02   2.46029e-02   1.70223e+00  -1.43189e-01  -2.56224e+01  -1.20000e+02  -6.68734e-01   4.75594e+00   4.80273e+00  -7.11186e+00  -2.89920e-02   2.06187e-01   2.08215e-01   1.34686e+02  -1.89382e+01   1.36010e+02
             4  -1.00513e+02   2.41423e+03   9.99998e-03   2.10914e-02   2.43367e-02   1.01804e+00  -1.45038e-01  -2.51531e+01  -1.20000e+02   1.76692e+00   2.89676e+00   3.39311e+00   1.63944e+00   1.53469e-01   2.51603e-01   2.94715e-01   4.61034e+01   2.81215e+01   5.40031e+01
             5  -1.00730e+02   2.53637e+03   1.77800e-02   5.42155e-03   5.28298e-03   4.49041e-01  -1.46641e-01  -2.46950e+01  -1.20000e+02   3.62680e+00   1.76138e+00   4.03189e+00   4.85657e-01   2.23104e-01   1.08352e-01   2.48023e-01   1.57667e+01   3.24648e+01   3.60909e+01
             6  -1.01025e+02   2.60663e+03   3.16200e-02   1.76490e-02   1.41612e-02  -5.24470e-01  -1.48201e-01  -2.42049e+01  -1.20000e+02   4.23143e+00  -2.47490e+00   4.90205e+00  -5.84885e-01   1.76089e-01  -1.02992e-01   2.03996e-01  -1.24571e+01   2.12983e+01   2.46738e+01
             7  -1.01136e+02   2.64808e+03   5.62299e-02   1.72547e-02   1.04034e-02  -1.19789e+00  -1.50269e-01  -2.37114e+01  -1.20000e+02   2.29852e+00  -6.08047e+00   6.50041e+00  -2.64538e+00   5.43961e-02  -1.43898e-01   1.53837e-01  -1.72103e+01   6.50581e+00   1.83990e+01
             8  -1.01146e+02   2.72964e+03   9.99999e-02   4.99762e+00   3.82428e-01   6.13616e-02  -1.52680e-01  -2.34000e+01  -1.20000e+02   5.62725e+01   3.82138e+00   5.64021e+01   6.79085e-02   1.76891e-02   1.20124e-03   1.77298e-02   6.08193e+00   8.95606e+01   8.97669e+01
