         Index            Ts             t             f             F             x         Phase            F0            x0            Tr            G'            G"            G*     tan_delta            J'            J"            J*          Eta'          Eta"          Eta*
           [#]          [°C]           [s]          [Hz]           [N]          [µm]         [rad]           [N]          [µm]          [°C]         [MPa]         [MPa]         [MPa]            []       [1/MPa]       [1/MPa]       [1/MPa]        [MPas]        [MPas]        [MPas]
             0   8.05049e+01   0.00000e+00   9.99999e-04   1.53579e-02   4.09854e-01   2.15888e-01   1.36919e-01  -1.34022e+01   8.00000e+01   1.42986e-01   3.07675e-02   1.46259e-01   2.15179e-01   6.68420e+00   1.43830e+00   6.83720e+00   4.89681e+00   2.27570e+01   2.32778e+01
             1   8.04737e+01   1.16541e+03   1.77000e-03   1.52250e-02   3.67322e-01   3.35345e-01   1.60458e-01  -1.70035e+01   8.00000e+01   1.52888e-01   5.29126e-02   1.61785e-01   3.46088e-01   5.84112e+00   2.02154e+00   6.18104e+00   4.75780e+00   1.37474e+01   1.45474e+01
             2   8.04711e+01   1.82634e+03   3.16000e-03   1.55865e-02   3.17065e-01   4.13746e-01   1.71142e-01  -1.86429e+01   8.00000e+01   1.75783e-01   7.69500e-02   1.91888e-01   4.37755e-01   4.77399e+00   2.08984e+00   5.21137e+00   3.87563e+00   8.85342e+00   9.66455e+00
             3   8.04562e+01   2.20087e+03   5.61999e-03   1.63034e-02   2.81042e-01   4.12801e-01   1.76081e-01  -1.94015e+01   8.00000e+01   2.07482e-01   9.07358e-02   2.26455e-01   4.37319e-01   4.04592e+00   1.76936e+00   4.41589e+00   2.56959e+00   5.87577e+00   6.41307e+00
             4   8.04575e+01   2.41421e+03   9.99998e-03   1.60648e-02   2.38350e-01   3.82258e-01   1.79440e-01  -1.99175e+01   8.00000e+01   2.44156e-01   9.80972e-02   2.63126e-01   4.01781e-01   3.52647e+00   1.41687e+00   3.80046e+00   1.56127e+00   3.88587e+00   4.18779e+00
             5   8.04526e+01   2.53716e+03   1.77800e-02   1.63929e-02   2.08042e-01   4.08183e-01   1.84074e-01  -2.06282e+01   8.00000e+01   2.82364e-01   1.22115e-01   3.07639e-01   4.32473e-01   2.98351e+00   1.29029e+00   3.25056e+00   1.09310e+00   2.52755e+00   2.75379e+00
             6   8.04517e+01   2.60750e+03   3.16200e-02   1.66043e-02   1.80744e-01   3.83613e-01   1.87074e-01  -2.10884e+01   8.00000e+01   3.32614e-01   1.34291e-01   3.58701e-01   4.03745e-01   2.58509e+00   1.04372e+00   2.78784e+00   6.75938e-01   1.67417e+00   1.80547e+00
             7   8.04523e+01   2.64906e+03   5.62299e-02   1.66147e-02   1.55262e-01   3.83559e-01   1.88446e-01  -2.12998e+01   8.00000e+01   3.87482e-01   1.56460e-01   4.17878e-01   4.03787e-01   2.21897e+00   8.95993e-01   2.39304e+00   4.42850e-01   1.09674e+00   1.18278e+00
             8   8.04499e+01   2.73261e+03   9.99999e-02   3.74105e-01   3.01572e+00   3.82048e-01   1.89192e-01  -2.14148e+01   8.00000e+01   4.49499e-01   1.80747e-01   4.84478e-01   4.02106e-01   1.91505e+00   7.70055e-01   2.06408e+00   2.87668e-01   7.15402e-01   7.71072e-01
