         Index            Ts             t             f             F             x         Phase            F0            x0            Tr            G'            G"            G*     tan_delta            J'            J"            J*          Eta'          Eta"          Eta*
           [#]          [°C]           [s]          [Hz]           [N]          [µm]         [rad]           [N]          [µm]          [°C]         [MPa]         [MPa]         [MPa]            []       [1/MPa]       [1/MPa]       [1/MPa]        [MPas]        [MPas]        [MPas]
             0   1.43325e+02   0.00000e+00   9.99999e-04   2.00434e-03   2.88913e+00  -2.29641e+00   5.45137e-01  -6.91017e+01   1.40000e+02  -1.80452e-03  -2.01796e-03   2.70711e-03   1.11829e+00  -2.46234e+02  -2.75360e+02   3.69397e+02  -3.21169e-01  -2.87198e-01   4.30851e-01
             1   1.43322e+02   1.16541e+03   1.77000e-03   1.58641e-03   2.82126e+00  -2.55760e-01   5.46409e-01  -6.92985e+01   1.40000e+02   2.12156e-03  -5.59888e-04   2.19420e-03  -2.63904e-01   4.40661e+02  -1.16292e+02   4.55748e+02  -5.03441e-02   1.90767e-01   1.97298e-01
             2   1.43329e+02   1.82635e+03   3.16000e-03   1.96973e-03   2.93754e+00   8.65262e-01   5.47125e-01  -6.94104e+01   1.40000e+02   1.69918e-03   1.98974e-03   2.61654e-03   1.17100e+00   2.48191e+02   2.90631e+02   3.82184e+02   1.00214e-01   8.55803e-02   1.31783e-01
             3   1.43325e+02   2.20087e+03   5.61999e-03   2.68395e-03   2.87205e+00   7.43152e-01   5.47637e-01  -6.94898e+01   1.40000e+02   2.68689e-03   2.46543e-03   3.64660e-03   9.17580e-01   2.02056e+02   1.85403e+02   2.74228e+02   6.98196e-02   7.60911e-02   1.03270e-01
             4   1.43324e+02   2.41421e+03   9.99998e-03   3.48585e-03   2.89117e+00   8.42300e-01   5.48003e-01  -6.95495e+01   1.40000e+02   3.13361e-03   3.50937e-03   4.70480e-03   1.11991e+00   1.41567e+02   1.58543e+02   2.12549e+02   5.58535e-02   4.98730e-02   7.48794e-02
             5   1.43335e+02   2.53630e+03   1.77800e-02   4.45540e-03   2.83751e+00   1.38979e+00   5.48408e-01  -6.96141e+01   1.40000e+02   1.10432e-03   6.02673e-03   6.12707e-03   5.45739e+00   2.94165e+01   1.60537e+02   1.63210e+02   5.39474e-02   9.88520e-03   5.48456e-02
             6   1.43323e+02   2.60654e+03   3.16200e-02   6.29149e-03   2.86050e+00   1.25290e+00   5.48781e-01  -6.96733e+01   1.40000e+02   2.68366e-03   8.15220e-03   8.58256e-03   3.03772e+00   3.64328e+01   1.10673e+02   1.16515e+02   4.10331e-02   1.35078e-02   4.31992e-02
             7   1.43321e+02   2.64798e+03   5.62299e-02   9.01344e-03   2.84707e+00   1.16472e+00   5.48945e-01  -6.97003e+01   1.40000e+02   4.88053e-03   1.13489e-02   1.23538e-02   2.32533e+00   3.19792e+01   7.43621e+01   8.09468e+01   3.21221e-02   1.38140e-02   3.49665e-02
             8   1.43317e+02   2.67525e+03   9.99999e-02   1.33864e-02   2.89384e+00   1.11507e+00   5.49079e-01  -6.97224e+01   1.40000e+02   7.94515e-03   1.62084e-02   1.80509e-02   2.04003e+00   2.43839e+01   4.97439e+01   5.53988e+01   2.57964e-02   1.26451e-02   2.87290e-02
