         Index            Ts             t             f             F             x         Phase            F0            x0            Tr            G'            G"            G*     tan_delta            J'            J"            J*          Eta'          Eta"          Eta*
           [#]          [°C]           [s]          [Hz]           [N]          [µm]         [rad]           [N]          [µm]          [°C]         [MPa]         [MPa]         [MPa]            []       [1/MPa]       [1/MPa]       [1/MPa]        [MPas]        [MPas]        [MPas]
             0   5.97051e+01   0.00000e+00   9.99999e-04   1.26153e-02   7.71380e-02   3.62413e-01  -1.42760e-02   7.19717e+00   6.00000e+01   5.98189e-01   2.24365e-01   6.38882e-01   3.75074e-01   1.46554e+00   5.49686e-01   1.56523e+00   3.57089e+01   9.52049e+01   1.01681e+02
             1   5.96644e+01   1.16541e+03   1.77000e-03   1.61054e-02   7.32196e-02   2.21133e-01  -1.32440e-02   7.02492e+00   6.00000e+01   8.39097e-01   1.86955e-01   8.59672e-01   2.22805e-01   1.13539e+00   2.52972e-01   1.16323e+00   1.68107e+01   7.54500e+01   7.73001e+01
             2   5.96803e+01   1.82635e+03   3.16000e-03   1.52690e-02   6.52386e-02   1.63713e-01  -1.41853e-02   7.16132e+00   6.00000e+01   9.02763e-01   1.48213e-01   9.14848e-01   1.64178e-01   1.07864e+00   1.77088e-01   1.09308e+00   7.46485e+00   4.54681e+01   4.60769e+01
             3   5.96905e+01   2.20088e+03   5.61999e-03   1.70587e-02   6.88567e-02   1.77240e-01  -1.50031e-02   7.28740e+00   6.00000e+01   9.53359e-01   1.70379e-01   9.68464e-01   1.78715e-01   1.01646e+00   1.81656e-01   1.03256e+00   4.82504e+00   2.69986e+01   2.74263e+01
             4   5.97052e+01   2.41421e+03   9.99998e-03   1.65808e-02   6.48898e-02   1.87980e-01  -1.54590e-02   7.35742e+00   6.00000e+01   9.81339e-01   1.86624e-01   9.98927e-01   1.90173e-01   9.83449e-01   1.87025e-01   1.00107e+00   2.97022e+00   1.56185e+01   1.58984e+01
             5   5.97196e+01   2.53630e+03   1.77800e-02   1.72297e-02   6.30184e-02   1.57033e-01  -1.58095e-02   7.41018e+00   6.00000e+01   1.05583e+00   1.67268e-01   1.06900e+00   1.58424e-01   9.23934e-01   1.46373e-01   9.35457e-01   1.49728e+00   9.45110e+00   9.56897e+00
             6   5.97257e+01   2.60664e+03   3.16200e-02   1.65509e-02   5.71216e-02   1.51753e-01  -1.62397e-02   7.47642e+00   6.00000e+01   1.11997e+00   1.71491e-01   1.13302e+00   1.53121e-01   8.72426e-01   1.33586e-01   8.82594e-01   8.63177e-01   5.63723e+00   5.70293e+00
             7   5.97235e+01   2.64819e+03   5.62299e-02   1.68533e-02   5.51208e-02   1.45074e-01  -1.66350e-02   7.53800e+00   6.00000e+01   1.18314e+00   1.73146e-01   1.19575e+00   1.46344e-01   8.27483e-01   1.21097e-01   8.36297e-01   4.90078e-01   3.34881e+00   3.38448e+00
             8   5.97230e+01   2.72845e+03   9.99999e-02   9.72821e-01   3.01591e+00   1.38877e-01  -1.68794e-02   7.57700e+00   6.00000e+01   1.24946e+00   1.74978e-01   1.26165e+00   1.40043e-01   7.84951e-01   1.09927e-01   7.92611e-01   2.78487e-01   1.98858e+00   2.00799e+00
             9   5.97235e+01   2.78041e+03   1.77820e-01   1.02467e+00   3.01238e+00   1.35518e-01  -1.69410e-02   7.58841e+00   6.00000e+01   1.31837e+00   1.80123e-01   1.33062e+00   1.36626e-01   7.44614e-01   1.01733e-01   7.51531e-01   1.61216e-01   1.17999e+00   1.19095e+00
            10   5.97230e+01   2.79338e+03   3.16220e-01   1.13953e+00   3.17780e+00   1.35352e-01  -1.69208e-02   7.58665e+00   6.00000e+01   1.39006e+00   1.89668e-01   1.40294e+00   1.36446e-01   7.06243e-01   9.63638e-02   7.12787e-01   9.54609e-02   6.99626e-01   7.06109e-01
            11   5.97240e+01   2.80536e+03   5.62339e-01   1.13291e+00   2.99653e+00   1.35421e-01  -1.68948e-02   7.58332e+00   6.00000e+01   1.46579e+00   2.00040e-01   1.47937e+00   1.36473e-01   6.69753e-01   9.14030e-02   6.75962e-01   5.66159e-02   4.14852e-01   4.18697e-01
            12   5.97238e+01   2.81411e+03   9.99999e-01   1.41057e+00   3.54521e+00   1.34670e-01  -1.68649e-02   7.57950e+00   6.00000e+01   1.54298e+00   2.09237e-01   1.55710e+00   1.35606e-01   6.36395e-01   8.62989e-02   6.42220e-01   3.33011e-02   2.45573e-01   2.47820e-01
            13   5.97241e+01   2.82316e+03   1.77828e+00   1.25479e+00   3.00191e+00   1.33483e-01  -1.68331e-02   7.57529e+00   6.00000e+01   1.62153e+00   2.17603e-01   1.63607e+00   1.34196e-01   6.05792e-01   8.12950e-02   6.11222e-01   1.94754e-02   1.45126e-01   1.46427e-01
            14   5.97246e+01   2.83150e+03   3.16228e+00   1.31639e+00   2.99789e+00   1.32983e-01  -1.68124e-02   7.57255e+00   6.00000e+01   1.70387e+00   2.27159e-01   1.71895e+00   1.33319e-01   5.76649e-01   7.68784e-02   5.81751e-01   1.14327e-02   8.57546e-02   8.65133e-02
            15   5.97241e+01   2.83924e+03   5.62341e+00   1.38751e+00   3.00478e+00   1.34137e-01  -1.68040e-02   7.57152e+00   6.00000e+01   1.79197e+00   2.39817e-01   1.80795e+00   1.33828e-01   5.48225e-01   7.33682e-02   5.53113e-01   6.78735e-03   5.07168e-02   5.11690e-02
            16   5.97237e+01   2.84678e+03   1.00000e+01   1.45264e+00   2.98521e+00   1.37936e-01  -1.68029e-02   7.57151e+00   6.00000e+01   1.88802e+00   2.57720e-01   1.90552e+00   1.36503e-01   5.19968e-01   7.09771e-02   5.24790e-01   4.10174e-03   3.00487e-02   3.03274e-02
            17   5.97237e+01   2.85413e+03   1.77828e+01   1.53274e+00   2.97700e+00   1.47577e-01  -1.67988e-02   7.57121e+00   6.00000e+01   1.99574e+00   2.87797e-01   2.01639e+00   1.44206e-01   4.90859e-01   7.07846e-02   4.95937e-01   2.57577e-03   1.78618e-02   1.80465e-02
            18   5.97239e+01   2.86132e+03   3.16228e+01   1.62816e+00   2.96231e+00   1.73383e-01  -1.67998e-02   7.57172e+00   6.00000e+01   2.12318e+00   3.54274e-01   2.15253e+00   1.66860e-01   4.58234e-01   7.64610e-02   4.64569e-01   1.78304e-03   1.06858e-02   1.08335e-02
            19   5.97244e+01   2.86844e+03   5.62341e+01   1.72305e+00   2.94244e+00   2.01633e-01  -1.68045e-02   7.57272e+00   6.00000e+01   2.25224e+00   4.26013e-01   2.29217e+00   1.89151e-01   4.28666e-01   8.10827e-02   4.36267e-01   1.20571e-03   6.37433e-03   6.48736e-03
