         Index            Ts             t             f             F             x         Phase            F0            x0            Tr            E'            E"            E*     tan_delta            D'            D"            D*          Eta'          Eta"          Eta*
           [#]          [°C]           [s]          [Hz]           [N]          [µm]         [rad]           [N]          [µm]          [°C]         [MPa]         [MPa]         [MPa]            []       [1/MPa]       [1/MPa]       [1/MPa]        [MPas]        [MPas]        [MPas]
             0   1.84962e+01   0.00000e+00   9.99999e-02   2.87493e+00   2.22915e+00   1.21576e-02   5.71145e+00   4.63726e+01   2.00000e+01   2.77495e+03   3.88292e+01   2.77522e+03   1.39928e-02   3.60297e-04   5.04154e-06   3.60332e-04   6.17986e+01   4.41647e+03   4.41690e+03
             1   1.82978e+01   7.57676e+01   1.12200e-01   2.98059e+00   2.30777e+00   1.21433e-02   5.71691e+00   4.58112e+01   2.00000e+01   2.77954e+03   3.88601e+01   2.77982e+03   1.39807e-02   3.59701e-04   5.02889e-06   3.59736e-04   5.51229e+01   3.94277e+03   3.94316e+03
             2   1.82094e+01   9.82717e+01   1.25890e-01   2.98043e+00   2.30453e+00   1.21028e-02   5.71940e+00   4.54385e+01   2.00000e+01   2.78390e+03   3.87999e+01   2.78417e+03   1.39373e-02   3.59139e-04   5.00542e-06   3.59174e-04   4.90524e+01   3.51951e+03   3.51985e+03
             3   1.80412e+01   1.20246e+02   1.41250e-01   2.97368e+00   2.29653e+00   1.23522e-02   5.72124e+00   4.51349e+01   2.00000e+01   2.78777e+03   3.96655e+01   2.78806e+03   1.42284e-02   3.58636e-04   5.10281e-06   3.58673e-04   4.46936e+01   3.14116e+03   3.14148e+03
             4   1.78661e+01   1.39837e+02   1.58480e-01   2.98089e+00   2.29944e+00   1.23991e-02   5.72296e+00   4.48620e+01   2.00000e+01   2.79152e+03   3.98733e+01   2.79180e+03   1.42838e-02   3.58155e-04   5.11580e-06   3.58192e-04   4.00432e+01   2.80341e+03   2.80369e+03
             5   1.77327e+01   1.57292e+02   1.77820e-01   2.98722e+00   2.30145e+00   1.24778e-02   5.72484e+00   4.45841e+01   2.00000e+01   2.79555e+03   4.01868e+01   2.79584e+03   1.43753e-02   3.57637e-04   5.14113e-06   3.57674e-04   3.59686e+01   2.50212e+03   2.50237e+03
             6   1.76034e+01   1.73133e+02   1.99520e-01   2.98825e+00   2.29959e+00   1.24174e-02   5.72630e+00   4.43471e+01   2.00000e+01   2.79928e+03   4.00421e+01   2.79957e+03   1.43044e-02   3.57162e-04   5.10899e-06   3.57198e-04   3.19412e+01   2.23296e+03   2.23319e+03
             7   1.74311e+01   1.87486e+02   2.23870e-01   2.99096e+00   2.29919e+00   1.23037e-02   5.72749e+00   4.41467e+01   2.00000e+01   2.80280e+03   3.97168e+01   2.80308e+03   1.41704e-02   3.56715e-04   5.05480e-06   3.56751e-04   2.82358e+01   1.99258e+03   1.99278e+03
             8   1.72993e+01   2.00368e+02   2.51180e-01   2.99345e+00   2.29877e+00   1.22156e-02   5.72860e+00   4.39711e+01   2.00000e+01   2.80610e+03   3.94675e+01   2.80638e+03   1.40649e-02   3.56296e-04   5.01126e-06   3.56331e-04   2.50078e+01   1.77803e+03   1.77821e+03
             9   1.72635e+01   2.11920e+02   2.81830e-01   2.99859e+00   2.30048e+00   1.21617e-02   5.72958e+00   4.38229e+01   2.00000e+01   2.80927e+03   3.93232e+01   2.80954e+03   1.39977e-02   3.55895e-04   4.98170e-06   3.55930e-04   2.22066e+01   1.58645e+03   1.58661e+03
            10   1.73468e+01   2.22286e+02   3.16220e-01   2.99970e+00   2.29922e+00   1.21482e-02   5.73044e+00   4.37000e+01   2.00000e+01   2.81227e+03   3.93035e+01   2.81254e+03   1.39758e-02   3.55516e-04   4.96860e-06   3.55550e-04   1.97817e+01   1.41543e+03   1.41557e+03
            11   1.73448e+01   2.33711e+02   3.54809e-01   2.99930e+00   2.29688e+00   1.21784e-02   5.73119e+00   4.35993e+01   2.00000e+01   2.81514e+03   3.94204e+01   2.81542e+03   1.40030e-02   3.55152e-04   4.97319e-06   3.55187e-04   1.76826e+01   1.26277e+03   1.26290e+03
            12   1.73337e+01   2.44667e+02   3.98099e-01   2.99972e+00   2.29526e+00   1.22679e-02   5.73182e+00   4.35197e+01   2.00000e+01   2.81790e+03   3.97253e+01   2.81818e+03   1.40975e-02   3.54803e-04   5.00183e-06   3.54839e-04   1.58817e+01   1.12656e+03   1.12667e+03
            13   1.73214e+01   2.54505e+02   4.46679e-01   2.99971e+00   2.29340e+00   1.24299e-02   5.73234e+00   4.34603e+01   2.00000e+01   2.82052e+03   4.02609e+01   2.82081e+03   1.42742e-02   3.54472e-04   5.05982e-06   3.54508e-04   1.43452e+01   1.00497e+03   1.00507e+03
            14   1.73095e+01   2.67008e+02   5.01179e-01   3.00035e+00   2.29210e+00   1.25610e-02   5.73277e+00   4.34168e+01   2.00000e+01   2.82308e+03   4.06896e+01   2.82337e+03   1.44132e-02   3.54149e-04   5.10442e-06   3.54186e-04   1.29214e+01   8.96500e+02   8.96593e+02
            15   1.73006e+01   2.80184e+02   5.62339e-01   3.00105e+00   2.29082e+00   1.26638e-02   5.73316e+00   4.33815e+01   2.00000e+01   2.82566e+03   4.10213e+01   2.82596e+03   1.45174e-02   3.53824e-04   5.13662e-06   3.53862e-04   1.16100e+01   7.99728e+02   7.99812e+02
            16   1.72963e+01   2.91994e+02   6.30949e-01   3.00114e+00   2.28903e+00   1.27320e-02   5.73353e+00   4.33520e+01   2.00000e+01   2.82832e+03   4.12347e+01   2.82862e+03   1.45792e-02   3.53492e-04   5.15363e-06   3.53529e-04   1.04013e+01   7.13435e+02   7.13511e+02
            17   1.72900e+01   3.02596e+02   7.07939e-01   2.99979e+00   2.28608e+00   1.28202e-02   5.73387e+00   4.33271e+01   2.00000e+01   2.83108e+03   4.15089e+01   2.83139e+03   1.46618e-02   3.53146e-04   5.17777e-06   3.53184e-04   9.33180e+00   6.36469e+02   6.36537e+02
            18   1.72800e+01   3.13371e+02   7.94319e-01   3.00047e+00   2.28461e+00   1.29167e-02   5.73420e+00   4.33044e+01   2.00000e+01   2.83394e+03   4.18040e+01   2.83424e+03   1.47512e-02   3.52789e-04   5.20406e-06   3.52828e-04   8.37612e+00   5.67826e+02   5.67888e+02
            19   1.72636e+01   3.23889e+02   8.91249e-01   3.00065e+00   2.28272e+00   1.30476e-02   5.73452e+00   4.32819e+01   2.00000e+01   2.83685e+03   4.22052e+01   2.83716e+03   1.48775e-02   3.52426e-04   5.24321e-06   3.52465e-04   7.53681e+00   5.06591e+02   5.06647e+02
            20   1.72575e+01   3.32697e+02   9.99999e-01   2.99955e+00   2.27983e+00   1.31945e-02   5.73486e+00   4.32587e+01   2.00000e+01   2.83981e+03   4.26510e+01   2.84013e+03   1.50189e-02   3.52056e-04   5.28751e-06   3.52096e-04   6.78812e+00   4.51971e+02   4.52022e+02
            21   1.72435e+01   3.43137e+02   1.12202e+00   3.00103e+00   2.27887e+00   1.33729e-02   5.73519e+00   4.32352e+01   2.00000e+01   2.84282e+03   4.31907e+01   2.84315e+03   1.51929e-02   3.51683e-04   5.34308e-06   3.51723e-04   6.12647e+00   4.03245e+02   4.03292e+02
            22   1.72094e+01   3.52584e+02   1.25892e+00   3.00212e+00   2.27759e+00   1.35147e-02   5.73552e+00   4.32117e+01   2.00000e+01   2.84586e+03   4.35990e+01   2.84619e+03   1.53202e-02   3.51305e-04   5.38206e-06   3.51347e-04   5.51188e+00   3.59779e+02   3.59821e+02
            23   1.71335e+01   3.61791e+02   1.41253e+00   3.00158e+00   2.27505e+00   1.36575e-02   5.73585e+00   4.31883e+01   2.00000e+01   2.84895e+03   4.39983e+01   2.84929e+03   1.54437e-02   3.50923e-04   5.41955e-06   3.50965e-04   4.95746e+00   3.21002e+02   3.21040e+02
            24   1.70818e+01   3.70690e+02   1.58489e+00   3.00094e+00   2.27240e+00   1.37703e-02   5.73617e+00   4.31649e+01   2.00000e+01   2.85210e+03   4.42844e+01   2.85244e+03   1.55269e-02   3.50534e-04   5.44273e-06   3.50577e-04   4.44706e+00   2.86409e+02   2.86443e+02
            25   1.70845e+01   3.79260e+02   1.77828e+00   3.00005e+00   2.26952e+00   1.39116e-02   5.73650e+00   4.31401e+01   2.00000e+01   2.85531e+03   4.46489e+01   2.85566e+03   1.56371e-02   3.50139e-04   5.47516e-06   3.50181e-04   3.99605e+00   2.55549e+02   2.55580e+02
            26   1.70792e+01   3.87851e+02   1.99526e+00   3.00076e+00   2.26783e+00   1.40705e-02   5.73686e+00   4.31115e+01   2.00000e+01   2.85856e+03   4.50532e+01   2.85891e+03   1.57608e-02   3.49740e-04   5.51219e-06   3.49783e-04   3.59374e+00   2.28017e+02   2.28046e+02
