         Index            Ts             t             f             F             x         Phase            F0            x0            Tr            E'            E"            E*     tan_delta            D'            D"            D*          Eta'          Eta"          Eta*
           [#]          [°C]           [s]          [Hz]           [N]          [µm]         [rad]           [N]          [µm]          [°C]         [MPa]         [MPa]         [MPa]            []       [1/MPa]       [1/MPa]       [1/MPa]        [MPas]        [MPas]        [MPas]
             0   3.81176e+00   0.00000e+00   9.99999e-02   2.98217e+00   2.23017e+00   1.28893e-02   5.84921e+00   3.16117e+01   5.00000e+00   2.89383e+03   4.31930e+01   2.89416e+03   1.49259e-02   3.45486e-04   5.15668e-06   3.45524e-04   6.87439e+01   4.60568e+03   4.60620e+03
             1   3.46263e+00   7.58128e+01   1.12200e-01   2.99682e+00   2.23772e+00   1.30203e-02   5.85468e+00   3.09157e+01   5.00000e+00   2.89895e+03   4.37263e+01   2.89928e+03   1.50835e-02   3.44874e-04   5.20192e-06   3.44914e-04   6.20256e+01   4.11214e+03   4.11261e+03
             2   3.32682e+00   9.83185e+01   1.25890e-01   2.99796e+00   2.23562e+00   1.30684e-02   5.85705e+00   3.04857e+01   5.00000e+00   2.90340e+03   4.39673e+01   2.90374e+03   1.51434e-02   3.44344e-04   5.21453e-06   3.44384e-04   5.55852e+01   3.67060e+03   3.67102e+03
             3   3.18906e+00   1.20292e+02   1.41250e-01   3.00006e+00   2.23494e+00   1.32365e-02   5.85856e+00   3.01770e+01   5.00000e+00   2.90679e+03   4.45935e+01   2.90714e+03   1.53411e-02   3.43941e-04   5.27644e-06   3.43981e-04   5.02463e+01   3.27527e+03   3.27565e+03
             4   3.06168e+00   1.39883e+02   1.58480e-01   2.99903e+00   2.23173e+00   1.32181e-02   5.85987e+00   2.99164e+01   5.00000e+00   2.91050e+03   4.45920e+01   2.91085e+03   1.53211e-02   3.43502e-04   5.26283e-06   3.43543e-04   4.47820e+01   2.92290e+03   2.92325e+03
             5   2.94453e+00   1.57336e+02   1.77820e-01   2.99996e+00   2.22989e+00   1.36194e-02   5.86139e+00   2.96376e+01   5.00000e+00   2.91433e+03   4.60143e+01   2.91470e+03   1.57890e-02   3.43046e-04   5.41635e-06   3.43089e-04   4.11845e+01   2.60843e+03   2.60876e+03
             6   2.83644e+00   1.73178e+02   1.99520e-01   3.00034e+00   2.22783e+00   1.37444e-02   5.86254e+00   2.94027e+01   5.00000e+00   2.91788e+03   4.64930e+01   2.91825e+03   1.59338e-02   3.42628e-04   5.45937e-06   3.42671e-04   3.70870e+01   2.32756e+03   2.32786e+03
             7   2.74180e+00   1.87531e+02   2.23870e-01   2.99985e+00   2.22520e+00   1.38185e-02   5.86346e+00   2.92068e+01   5.00000e+00   2.92135e+03   4.67951e+01   2.92173e+03   1.60183e-02   3.42219e-04   5.48177e-06   3.42263e-04   3.32679e+01   2.07687e+03   2.07713e+03
             8   2.65769e+00   2.00414e+02   2.51180e-01   2.99975e+00   2.22283e+00   1.38221e-02   5.86432e+00   2.90317e+01   5.00000e+00   2.92486e+03   4.68547e+01   2.92523e+03   1.60195e-02   3.41809e-04   5.47560e-06   3.41853e-04   2.96885e+01   1.85328e+03   1.85351e+03
