         Index            Ts             t             f             F             x         Phase            F0            x0            Tr            E'            E"            E*     tan_delta            D'            D"            D*          Eta'          Eta"          Eta*
           [#]          [°C]           [s]          [Hz]           [N]          [µm]         [rad]           [N]          [µm]          [°C]         [MPa]         [MPa]         [MPa]            []       [1/MPa]       [1/MPa]       [1/MPa]        [MPas]        [MPas]        [MPas]
             0   9.92538e+01   0.00000e+00   9.99999e-02   3.03870e-02   2.42851e+00   7.22777e-02   2.26800e+00   5.57032e+02   1.00000e+02   2.32398e+01   1.68335e+00   2.33007e+01   7.24339e-02   4.28050e-02   3.10053e-03   4.29172e-02   2.67914e+00   3.69874e+01   3.70843e+01
             1   9.91393e+01   5.41377e+01   1.12200e-01   3.08241e-02   2.44682e+00   8.60756e-02   2.26977e+00   5.56590e+02   1.00000e+02   2.33722e+01   2.01794e+00   2.34591e+01   8.63393e-02   4.24694e-02   3.66677e-03   4.26274e-02   2.86243e+00   3.31533e+01   3.32766e+01
             2   9.90856e+01   7.66572e+01   1.25890e-01   2.87393e-02   2.25642e+00   8.92057e-02   2.27099e+00   5.56322e+02   1.00000e+02   2.36240e+01   2.11434e+00   2.37185e+01   8.94995e-02   4.19934e-02   3.75839e-03   4.21613e-02   2.67303e+00   2.98664e+01   2.99858e+01
             3   9.90358e+01   9.86309e+01   1.41250e-01   2.93162e-02   2.28925e+00   8.93569e-02   2.27193e+00   5.56141e+02   1.00000e+02   2.37525e+01   2.12946e+00   2.38477e+01   8.96523e-02   4.17652e-02   3.74435e-03   4.19327e-02   2.39940e+00   2.67634e+01   2.68707e+01
             4   9.89886e+01   1.18223e+02   1.58480e-01   2.92961e-02   2.26900e+00   8.64889e-02   2.27270e+00   5.55997e+02   1.00000e+02   2.39544e+01   2.07823e+00   2.40444e+01   8.67578e-02   4.14342e-02   3.59474e-03   4.15898e-02   2.08708e+00   2.40564e+01   2.41468e+01
             5   9.89473e+01   1.35675e+02   1.77820e-01   2.95997e-02   2.27539e+00   8.91735e-02   2.27350e+00   5.55840e+02   1.00000e+02   2.41292e+01   2.15873e+00   2.42255e+01   8.94657e-02   4.11145e-02   3.67834e-03   4.12788e-02   1.93214e+00   2.15965e+01   2.16827e+01
             6   9.89124e+01   1.51519e+02   1.99520e-01   3.00160e-02   2.29919e+00   9.12376e-02   2.27420e+00   5.55712e+02   1.00000e+02   2.42109e+01   2.21643e+00   2.43121e+01   9.15470e-02   4.09605e-02   3.74981e-03   4.11318e-02   1.76803e+00   1.93128e+01   1.93935e+01
             7   9.88834e+01   1.65871e+02   2.23870e-01   2.97872e-02   2.27581e+00   9.39210e-02   2.27478e+00   5.55614e+02   1.00000e+02   2.42672e+01   2.28727e+00   2.43748e+01   9.42535e-02   4.08450e-02   3.84979e-03   4.10260e-02   1.62608e+00   1.72522e+01   1.73287e+01
             8   9.88599e+01   1.78753e+02   2.51180e-01   2.99293e-02   2.28110e+00   9.78946e-02   2.27530e+00   5.55530e+02   1.00000e+02   2.43171e+01   2.38951e+00   2.44342e+01   9.82648e-02   4.07301e-02   4.00233e-03   4.09262e-02   1.51407e+00   1.54080e+01   1.54822e+01
             9   9.88413e+01   1.90307e+02   2.81830e-01   2.97775e-02   2.26286e+00   1.02232e-01   2.27577e+00   5.55459e+02   1.00000e+02   2.43782e+01   2.50234e+00   2.45063e+01   1.02646e-01   4.05925e-02   4.16667e-03   4.08058e-02   1.41312e+00   1.37669e+01   1.38392e+01
            10   9.88210e+01   2.00672e+02   3.16220e-01   3.03170e-02   2.29623e+00   1.07379e-01   2.27617e+00   5.55401e+02   1.00000e+02   2.44461e+01   2.63652e+00   2.45879e+01   1.07850e-01   4.04360e-02   4.36104e-03   4.06705e-02   1.32698e+00   1.23038e+01   1.23752e+01
            11   9.87978e+01   2.12096e+02   3.54809e-01   3.01931e-02   2.27880e+00   1.12923e-01   2.27655e+00   5.55348e+02   1.00000e+02   2.45174e+01   2.78181e+00   2.46747e+01   1.13462e-01   4.02689e-02   4.56901e-03   4.05273e-02   1.24782e+00   1.09976e+01   1.10682e+01
            12   9.87787e+01   2.23053e+02   3.98099e-01   3.02788e-02   2.27570e+00   1.18656e-01   2.27691e+00   5.55299e+02   1.00000e+02   2.46042e+01   2.93459e+00   2.47786e+01   1.19272e-01   4.00733e-02   4.77961e-03   4.03573e-02   1.17321e+00   9.83646e+00   9.90617e+00
            13   9.87596e+01   2.32891e+02   4.46679e-01   3.04073e-02   2.27442e+00   1.24303e-01   2.27725e+00   5.55255e+02   1.00000e+02   2.47057e+01   3.08823e+00   2.48980e+01   1.25001e-01   3.98538e-02   4.98175e-03   4.01639e-02   1.10036e+00   8.80281e+00   8.87132e+00
            14   9.87392e+01   2.45381e+02   5.01179e-01   3.13147e-02   2.32935e+00   1.29987e-01   2.27758e+00   5.55215e+02   1.00000e+02   2.48251e+01   3.24648e+00   2.50364e+01   1.30774e-01   3.96045e-02   5.17926e-03   3.99418e-02   1.03096e+00   7.88347e+00   7.95060e+00
            15   9.87162e+01   2.58557e+02   5.62339e-01   3.17757e-02   2.34879e+00   1.35574e-01   2.27789e+00   5.55177e+02   1.00000e+02   2.49636e+01   3.40640e+00   2.51949e+01   1.36455e-01   3.93261e-02   5.36623e-03   3.96905e-02   9.64090e-01   7.06527e+00   7.13075e+00
            16   9.86978e+01   2.70365e+02   6.30949e-01   3.18461e-02   2.33769e+00   1.41589e-01   2.27818e+00   5.55144e+02   1.00000e+02   2.51168e+01   3.58116e+00   2.53708e+01   1.42580e-01   3.90207e-02   5.56358e-03   3.94153e-02   9.03338e-01   6.33564e+00   6.39972e+00
            17   9.86822e+01   2.80965e+02   7.07939e-01   3.20720e-02   2.33675e+00   1.47853e-01   2.27843e+00   5.55116e+02   1.00000e+02   2.52824e+01   3.76630e+00   2.55614e+01   1.48969e-01   3.86945e-02   5.76430e-03   3.91215e-02   8.46719e-01   5.68385e+00   5.74657e+00
            18   9.86676e+01   2.91739e+02   7.94319e-01   3.20792e-02   2.31908e+00   1.54689e-01   2.27866e+00   5.55093e+02   1.00000e+02   2.54545e+01   3.96974e+00   2.57622e+01   1.55954e-01   3.83530e-02   5.98131e-03   3.88166e-02   7.95403e-01   5.10023e+00   5.16188e+00
            19   9.86552e+01   3.01414e+02   8.91249e-01   3.26233e-02   2.33920e+00   1.61938e-01   2.27887e+00   5.55071e+02   1.00000e+02   2.56342e+01   4.18802e+00   2.59741e+01   1.63376e-01   3.79962e-02   6.20767e-03   3.84999e-02   7.47876e-01   4.57764e+00   4.63833e+00
