         Index            Ts             t             f             F             x         Phase            F0            x0            Tr            E'            E"            E*     tan_delta            D'            D"            D*          Eta'          Eta"          Eta*
           [#]          [°C]           [s]          [Hz]           [N]          [µm]         [rad]           [N]          [µm]          [°C]         [MPa]         [MPa]         [MPa]            []       [1/MPa]       [1/MPa]       [1/MPa]        [MPas]        [MPas]        [MPas]
             0   5.36322e+01   0.00000e+00   9.99999e-02   2.40798e+00   2.30685e+00   3.53068e-02   5.26638e+00   1.04486e+02   5.50000e+01   2.17899e+03   8.63127e+01   2.18070e+03   3.96113e-02   4.58209e-04   1.81502e-05   4.58568e-04   1.37371e+02   3.46798e+03   3.47070e+03
             1   5.33813e+01   7.34033e+01   1.12200e-01   2.41488e+00   2.30219e+00   3.39594e-02   5.26821e+00   1.04179e+02   5.50000e+01   2.19113e+03   8.35254e+01   2.19272e+03   3.81199e-02   4.55724e-04   1.73721e-05   4.56055e-04   1.18480e+02   3.10810e+03   3.11036e+03
             2   5.32945e+01   9.59272e+01   1.25890e-01   2.42653e+00   2.30414e+00   3.26780e-02   5.27021e+00   1.03993e+02   5.50000e+01   2.20105e+03   8.07700e+01   2.20253e+03   3.66961e-02   4.53717e-04   1.66497e-05   4.54023e-04   1.02113e+02   2.78266e+03   2.78453e+03
             3   5.32071e+01   1.17892e+02   1.41250e-01   2.43071e+00   2.30058e+00   3.18187e-02   5.27129e+00   1.03859e+02   5.50000e+01   2.20924e+03   7.89637e+01   2.21065e+03   3.57425e-02   4.52068e-04   1.61580e-05   4.52356e-04   8.89734e+01   2.48928e+03   2.49087e+03
             4   5.31259e+01   1.37483e+02   1.58480e-01   2.43803e+00   2.30056e+00   3.12067e-02   5.27212e+00   1.03743e+02   5.50000e+01   2.21680e+03   7.77323e+01   2.21817e+03   3.50650e-02   4.50546e-04   1.57984e-05   4.50823e-04   7.80634e+01   2.22625e+03   2.22762e+03
             5   5.30499e+01   1.54938e+02   1.77820e-01   2.44751e+00   2.30173e+00   3.01966e-02   5.27304e+00   1.03622e+02   5.50000e+01   2.22533e+03   7.55250e+01   2.22661e+03   3.39389e-02   4.48855e-04   1.52336e-05   4.49114e-04   6.75976e+01   1.99174e+03   1.99289e+03
             6   5.29833e+01   1.70779e+02   1.99520e-01   2.45296e+00   2.30035e+00   2.95048e-02   5.27395e+00   1.03521e+02   5.50000e+01   2.23248e+03   7.40456e+01   2.23371e+03   3.31675e-02   4.47440e-04   1.48405e-05   4.47686e-04   5.90655e+01   1.78083e+03   1.78181e+03
             7   5.29235e+01   1.85133e+02   2.23870e-01   2.45797e+00   2.29890e+00   2.87979e-02   5.27447e+00   1.03438e+02   5.50000e+01   2.23928e+03   7.25006e+01   2.24045e+03   3.23768e-02   4.46105e-04   1.44434e-05   4.46339e-04   5.15426e+01   1.59196e+03   1.59280e+03
             8   5.28716e+01   1.98014e+02   2.51180e-01   2.46622e+00   2.30071e+00   2.80854e-02   5.27481e+00   1.03363e+02   5.50000e+01   2.24582e+03   7.09181e+01   2.24694e+03   3.15779e-02   4.44828e-04   1.40467e-05   4.45050e-04   4.49358e+01   1.42302e+03   1.42373e+03
             9   5.28264e+01   2.09567e+02   2.81830e-01   2.47174e+00   2.30022e+00   2.74460e-02   5.27515e+00   1.03295e+02   5.50000e+01   2.25209e+03   6.94979e+01   2.25316e+03   3.08593e-02   4.43610e-04   1.36895e-05   4.43821e-04   3.92469e+01   1.27180e+03   1.27240e+03
            10   5.27844e+01   2.19933e+02   3.16220e-01   2.47739e+00   2.30003e+00   2.68461e-02   5.27548e+00   1.03233e+02   5.50000e+01   2.25815e+03   6.81589e+01   2.25918e+03   3.01835e-02   4.42437e-04   1.33543e-05   4.42638e-04   3.43047e+01   1.13654e+03   1.13706e+03
            11   5.27394e+01   2.31357e+02   3.54809e-01   2.48132e+00   2.29834e+00   2.63253e-02   5.27581e+00   1.03175e+02   5.50000e+01   2.26411e+03   6.70061e+01   2.26510e+03   2.95949e-02   4.41288e-04   1.30599e-05   4.41481e-04   3.00566e+01   1.01560e+03   1.01604e+03
            12   5.26980e+01   2.42315e+02   3.98099e-01   2.48902e+00   2.30026e+00   2.58556e-02   5.27614e+00   1.03121e+02   5.50000e+01   2.26994e+03   6.59691e+01   2.27090e+03   2.90620e-02   4.40168e-04   1.27922e-05   4.40354e-04   2.63736e+01   9.07493e+02   9.07876e+02
            13   5.26614e+01   2.52151e+02   4.46679e-01   2.49435e+00   2.30010e+00   2.54508e-02   5.27645e+00   1.03071e+02   5.50000e+01   2.27564e+03   6.50839e+01   2.27657e+03   2.86003e-02   4.39078e-04   1.25578e-05   4.39258e-04   2.31898e+01   8.10825e+02   8.11157e+02
            14   5.26152e+01   2.64652e+02   5.01179e-01   2.50158e+00   2.30180e+00   2.51408e-02   5.27676e+00   1.03023e+02   5.50000e+01   2.28121e+03   6.44294e+01   2.28212e+03   2.82435e-02   4.38015e-04   1.23711e-05   4.38189e-04   2.04603e+01   7.24423e+02   7.24712e+02
            15   5.25641e+01   2.77829e+02   5.62339e-01   2.50948e+00   2.30420e+00   2.48234e-02   5.27708e+00   1.02976e+02   5.50000e+01   2.28668e+03   6.37435e+01   2.28757e+03   2.78760e-02   4.36975e-04   1.21811e-05   4.37145e-04   1.80409e+01   6.47184e+02   6.47436e+02
            16   5.25211e+01   2.89637e+02   6.30949e-01   2.51370e+00   2.30331e+00   2.45009e-02   5.27739e+00   1.02933e+02   5.50000e+01   2.29205e+03   6.30316e+01   2.29291e+03   2.75001e-02   4.35962e-04   1.19890e-05   4.36127e-04   1.58995e+01   5.78161e+02   5.78380e+02
            17   5.24833e+01   3.00239e+02   7.07939e-01   2.51536e+00   2.30021e+00   2.41282e-02   5.27769e+00   1.02892e+02   5.50000e+01   2.29729e+03   6.21751e+01   2.29813e+03   2.70646e-02   4.34978e-04   1.17725e-05   4.35137e-04   1.39779e+01   5.16463e+02   5.16652e+02
            18   5.24442e+01   3.11015e+02   7.94319e-01   2.52306e+00   2.30274e+00   2.37491e-02   5.27798e+00   1.02854e+02   5.50000e+01   2.30241e+03   6.12873e+01   2.30322e+03   2.66188e-02   4.34021e-04   1.15531e-05   4.34174e-04   1.22799e+01   4.61325e+02   4.61489e+02
