         Index            Ts             t             f             F             x         Phase            F0            x0            Tr            E'            E"            E*     tan_delta            D'            D"            D*          Eta'          Eta"          Eta*
           [#]          [°C]           [s]          [Hz]           [N]          [µm]         [rad]           [N]          [µm]          [°C]         [MPa]         [MPa]         [MPa]            []       [1/MPa]       [1/MPa]       [1/MPa]        [MPas]        [MPas]        [MPas]
             0   3.30790e+01   0.00000e+00   9.99999e-02   2.82798e+00   2.30795e+00   1.37781e-02   5.56971e+00   6.30227e+01   3.50000e+01   2.61584e+03   4.11854e+01   2.61616e+03   1.57446e-02   3.82192e-04   6.01748e-06   3.82240e-04   6.55487e+01   4.16324e+03   4.16375e+03
             1   3.31517e+01   7.34390e+01   1.12200e-01   2.82809e+00   2.30577e+00   1.36608e-02   5.57308e+00   6.29251e+01   3.50000e+01   2.61881e+03   4.08892e+01   2.61913e+03   1.56137e-02   3.81759e-04   5.96066e-06   3.81806e-04   5.80012e+01   3.71477e+03   3.71523e+03
             2   3.31546e+01   9.59443e+01   1.25890e-01   2.82333e+00   2.29966e+00   1.36039e-02   5.57386e+00   6.28443e+01   3.50000e+01   2.62173e+03   4.07707e+01   2.62204e+03   1.55511e-02   3.81336e-04   5.93018e-06   3.81382e-04   5.15439e+01   3.31449e+03   3.31489e+03
             3   3.31487e+01   1.17919e+02   1.41250e-01   2.82449e+00   2.29858e+00   1.36111e-02   5.57412e+00   6.27693e+01   3.50000e+01   2.62437e+03   4.08375e+01   2.62469e+03   1.55609e-02   3.80951e-04   5.92793e-06   3.80998e-04   4.60141e+01   2.95704e+03   2.95740e+03
             4   3.31300e+01   1.37510e+02   1.58480e-01   2.83000e+00   2.30061e+00   1.35562e-02   5.57436e+00   6.26978e+01   3.50000e+01   2.62759e+03   4.07247e+01   2.62791e+03   1.54989e-02   3.80485e-04   5.89709e-06   3.80531e-04   4.08982e+01   2.63878e+03   2.63910e+03
             5   3.31088e+01   1.54963e+02   1.77820e-01   2.82985e+00   2.29830e+00   1.34462e-02   5.57477e+00   6.26272e+01   3.50000e+01   2.63046e+03   4.04359e+01   2.63078e+03   1.53721e-02   3.80071e-04   5.84250e-06   3.80116e-04   3.61915e+01   2.35436e+03   2.35464e+03
             6   3.30828e+01   1.70806e+02   1.99520e-01   2.83621e+00   2.30138e+00   1.33330e-02   5.57493e+00   6.25605e+01   3.50000e+01   2.63322e+03   4.01318e+01   2.63352e+03   1.52406e-02   3.79675e-04   5.78648e-06   3.79719e-04   3.20128e+01   2.10049e+03   2.10074e+03
             7   3.30555e+01   1.85158e+02   2.23870e-01   2.83147e+00   2.29559e+00   1.32746e-02   5.57497e+00   6.24958e+01   3.50000e+01   2.63579e+03   3.99871e+01   2.63609e+03   1.51708e-02   3.79306e-04   5.75438e-06   3.79349e-04   2.84279e+01   1.87385e+03   1.87407e+03
             8   3.30313e+01   1.98042e+02   2.51180e-01   2.84040e+00   2.30083e+00   1.31838e-02   5.57505e+00   6.24321e+01   3.50000e+01   2.63842e+03   3.97420e+01   2.63872e+03   1.50628e-02   3.78928e-04   5.70772e-06   3.78971e-04   2.51817e+01   1.67178e+03   1.67197e+03
             9   3.30034e+01   2.09592e+02   2.81830e-01   2.84343e+00   2.30126e+00   1.31695e-02   5.57516e+00   6.23699e+01   3.50000e+01   2.64109e+03   3.97257e+01   2.64139e+03   1.50414e-02   3.78545e-04   5.69385e-06   3.78588e-04   2.24339e+01   1.49148e+03   1.49165e+03
            10   3.29807e+01   2.19960e+02   3.16220e-01   2.84303e+00   2.29891e+00   1.31596e-02   5.57529e+00   6.23089e+01   3.50000e+01   2.64377e+03   3.97193e+01   2.64407e+03   1.50237e-02   3.78162e-04   5.68140e-06   3.78205e-04   1.99909e+01   1.33062e+03   1.33077e+03
            11   3.29559e+01   2.31382e+02   3.54809e-01   2.84771e+00   2.30067e+00   1.31860e-02   5.57544e+00   6.22480e+01   3.50000e+01   2.64644e+03   3.98196e+01   2.64674e+03   1.50465e-02   3.77780e-04   5.68426e-06   3.77823e-04   1.78617e+01   1.18710e+03   1.18723e+03
            12   3.29302e+01   2.42340e+02   3.98099e-01   2.84744e+00   2.29842e+00   1.31731e-02   5.57560e+00   6.21876e+01   3.50000e+01   2.64913e+03   3.97965e+01   2.64943e+03   1.50225e-02   3.77398e-04   5.66945e-06   3.77440e-04   1.59101e+01   1.05909e+03   1.05921e+03
            13   3.29025e+01   2.52176e+02   4.46679e-01   2.85150e+00   2.29966e+00   1.31292e-02   5.57578e+00   6.21276e+01   3.50000e+01   2.65183e+03   3.96741e+01   2.65212e+03   1.49610e-02   3.77014e-04   5.64053e-06   3.77056e-04   1.41362e+01   9.44864e+02   9.44970e+02
            14   3.28681e+01   2.64680e+02   5.01179e-01   2.85569e+00   2.30099e+00   1.30669e-02   5.57598e+00   6.20679e+01   3.50000e+01   2.65456e+03   3.94913e+01   2.65485e+03   1.48768e-02   3.76627e-04   5.60300e-06   3.76669e-04   1.25409e+01   8.42984e+02   8.43077e+02
            15   3.28366e+01   2.77857e+02   5.62339e-01   2.86216e+00   2.30409e+00   1.30116e-02   5.57618e+00   6.20083e+01   3.50000e+01   2.65735e+03   3.93245e+01   2.65764e+03   1.47984e-02   3.76232e-04   5.56763e-06   3.76273e-04   1.11298e+01   7.52092e+02   7.52174e+02
            16   3.28074e+01   2.89665e+02   6.30949e-01   2.86324e+00   2.30282e+00   1.30545e-02   5.57639e+00   6.19497e+01   3.50000e+01   2.66020e+03   3.94527e+01   2.66049e+03   1.48307e-02   3.75829e-04   5.57381e-06   3.75870e-04   9.95182e+00   6.71027e+02   6.71101e+02
            17   3.27786e+01   3.00268e+02   7.07939e-01   2.86441e+00   2.30158e+00   1.31292e-02   5.57660e+00   6.18924e+01   3.50000e+01   2.66309e+03   3.96728e+01   2.66339e+03   1.48973e-02   3.75420e-04   5.59273e-06   3.75462e-04   8.91901e+00   5.98702e+02   5.98768e+02
            18   3.27474e+01   3.11042e+02   7.94319e-01   2.86840e+00   2.30260e+00   1.32784e-02   5.57681e+00   6.18362e+01   3.50000e+01   2.66599e+03   4.01147e+01   2.66630e+03   1.50468e-02   3.75010e-04   5.64269e-06   3.75052e-04   8.03764e+00   5.34176e+02   5.34237e+02
            19   3.27215e+01   3.20732e+02   8.91249e-01   2.86986e+00   2.30156e+00   1.33967e-02   5.57703e+00   6.17811e+01   3.50000e+01   2.66893e+03   4.04546e+01   2.66924e+03   1.51576e-02   3.74595e-04   5.67796e-06   3.74638e-04   7.22419e+00   4.76606e+02   4.76660e+02
            20   3.27003e+01   3.29247e+02   9.99999e-01   2.86436e+00   2.29493e+00   1.35159e-02   5.57724e+00   6.17282e+01   3.50000e+01   2.67192e+03   4.07894e+01   2.67223e+03   1.52660e-02   3.74176e-04   5.71216e-06   3.74220e-04   6.49184e+00   4.25249e+02   4.25299e+02
            21   3.26729e+01   3.39688e+02   1.12202e+00   2.87642e+00   2.30232e+00   1.35706e-02   5.57746e+00   6.16777e+01   3.50000e+01   2.67495e+03   4.09167e+01   2.67526e+03   1.52963e-02   3.73752e-04   5.71701e-06   3.73795e-04   5.80391e+00   3.79433e+02   3.79478e+02
            22   3.26475e+01   3.49132e+02   1.25892e+00   2.87629e+00   2.29991e+00   1.36146e-02   5.57784e+00   6.16289e+01   3.50000e+01   2.67803e+03   4.10006e+01   2.67835e+03   1.53100e-02   3.73321e-04   5.71553e-06   3.73365e-04   5.18337e+00   3.38562e+02   3.38602e+02
            23   3.26213e+01   3.58339e+02   1.41253e+00   2.88459e+00   2.30420e+00   1.36568e-02   5.57861e+00   6.15820e+01   3.50000e+01   2.68117e+03   4.10666e+01   2.68149e+03   1.53166e-02   3.72884e-04   5.71133e-06   3.72927e-04   4.62713e+00   3.02098e+02   3.02133e+02
            24   3.25978e+01   3.67240e+02   1.58489e+00   2.88413e+00   2.30146e+00   1.37250e-02   5.57955e+00   6.15371e+01   3.50000e+01   2.68436e+03   4.11991e+01   2.68468e+03   1.53478e-02   3.72440e-04   5.71615e-06   3.72484e-04   4.13723e+00   2.69565e+02   2.69596e+02
            25   3.25735e+01   3.75810e+02   1.77828e+00   2.88944e+00   2.30329e+00   1.37878e-02   5.58049e+00   6.14933e+01   3.50000e+01   2.68758e+03   4.12990e+01   2.68790e+03   1.53666e-02   3.71994e-04   5.71629e-06   3.72038e-04   3.69624e+00   2.40537e+02   2.40565e+02
            26   3.25485e+01   3.84401e+02   1.99526e+00   2.88804e+00   2.29979e+00   1.38669e-02   5.58143e+00   6.14509e+01   3.50000e+01   2.69079e+03   4.14308e+01   2.69111e+03   1.53973e-02   3.71550e-04   5.72086e-06   3.71594e-04   3.30480e+00   2.14635e+02   2.14661e+02
            27   3.25241e+01   3.93143e+02   2.23872e+00   2.89359e+00   2.30184e+00   1.39569e-02   5.58236e+00   6.14096e+01   3.50000e+01   2.69398e+03   4.15760e+01   2.69431e+03   1.54329e-02   3.71109e-04   5.72729e-06   3.71153e-04   2.95572e+00   1.91521e+02   1.91544e+02
            28   3.25034e+01   4.01408e+02   2.51189e+00   2.89556e+00   2.30104e+00   1.40562e-02   5.58329e+00   6.13695e+01   3.50000e+01   2.69717e+03   4.17264e+01   2.69749e+03   1.54704e-02   3.70670e-04   5.73443e-06   3.70715e-04   2.64381e+00   1.70895e+02   1.70915e+02
            29   3.24813e+01   4.09552e+02   2.81838e+00   2.89700e+00   2.29984e+00   1.41624e-02   5.58420e+00   6.13311e+01   3.50000e+01   2.70034e+03   4.18724e+01   2.70067e+03   1.55063e-02   3.70235e-04   5.74098e-06   3.70279e-04   2.36455e+00   1.52489e+02   1.52508e+02
            30   3.24589e+01   4.17751e+02   3.16228e+00   2.90347e+00   2.30264e+00   1.42632e-02   5.58510e+00   6.12942e+01   3.50000e+01   2.70350e+03   4.19718e+01   2.70382e+03   1.55250e-02   3.69802e-04   5.74118e-06   3.69847e-04   2.11241e+00   1.36065e+02   1.36081e+02
            31   3.24388e+01   4.25779e+02   3.54812e+00   2.90475e+00   2.30133e+00   1.43756e-02   5.58589e+00   6.12580e+01   3.50000e+01   2.70664e+03   4.20743e+01   2.70697e+03   1.55448e-02   3.69372e-04   5.74183e-06   3.69417e-04   1.88729e+00   1.21409e+02   1.21424e+02
            32   3.24175e+01   4.33507e+02   3.98106e+00   2.90665e+00   2.30052e+00   1.44855e-02   5.58629e+00   6.12216e+01   3.50000e+01   2.70977e+03   4.21312e+01   2.71010e+03   1.55479e-02   3.68946e-04   5.73634e-06   3.68990e-04   1.68432e+00   1.08331e+02   1.08344e+02
            33   3.23992e+01   4.41301e+02   4.46683e+00   2.91225e+00   2.30268e+00   1.46289e-02   5.58650e+00   6.11855e+01   3.50000e+01   2.71285e+03   4.22510e+01   2.71318e+03   1.55744e-02   3.68527e-04   5.73957e-06   3.68571e-04   1.50542e+00   9.66599e+01   9.66716e+01
            34   3.23765e+01   4.49181e+02   5.01186e+00   2.91227e+00   2.30045e+00   1.47832e-02   5.58672e+00   6.11500e+01   3.50000e+01   2.71591e+03   4.23572e+01   2.71624e+03   1.55960e-02   3.68112e-04   5.74106e-06   3.68157e-04   1.34508e+00   8.62453e+01   8.62558e+01
            35   3.23564e+01   4.56942e+02   5.62341e+00   2.91224e+00   2.29817e+00   1.49895e-02   5.58694e+00   6.11148e+01   3.50000e+01   2.71896e+03   4.25745e+01   2.71930e+03   1.56584e-02   3.67697e-04   5.75753e-06   3.67742e-04   1.20495e+00   7.69527e+01   7.69621e+01
            36   3.23372e+01   4.64610e+02   6.30957e+00   2.91958e+00   2.30170e+00   1.52091e-02   5.58715e+00   6.10798e+01   3.50000e+01   2.72204e+03   4.27749e+01   2.72238e+03   1.57143e-02   3.67280e-04   5.77154e-06   3.67326e-04   1.07897e+00   6.86618e+01   6.86703e+01
            37   3.23206e+01   4.72193e+02   7.07945e+00   2.91817e+00   2.29832e+00   1.54493e-02   5.58736e+00   6.10452e+01   3.50000e+01   2.72513e+03   4.29741e+01   2.72547e+03   1.57695e-02   3.66863e-04   5.78527e-06   3.66909e-04   9.66111e-01   6.12644e+01   6.12720e+01
            38   3.23061e+01   4.79682e+02   7.94328e+00   2.92191e+00   2.29898e+00   1.56885e-02   5.58758e+00   6.10101e+01   3.50000e+01   2.72824e+03   4.30961e+01   2.72858e+03   1.57963e-02   3.66445e-04   5.78848e-06   3.66491e-04   8.63492e-01   5.46642e+01   5.46710e+01
            39   3.22874e+01   4.87075e+02   8.91251e+00   2.92145e+00   2.29632e+00   1.59527e-02   5.58781e+00   6.09746e+01   3.50000e+01   2.73138e+03   4.32138e+01   2.73172e+03   1.58212e-02   3.66024e-04   5.79095e-06   3.66069e-04   7.71690e-01   4.87756e+01   4.87817e+01
            40   3.22719e+01   4.94445e+02   1.00000e+01   2.92581e+00   2.29741e+00   1.62555e-02   5.58804e+00   6.09389e+01   3.50000e+01   2.73456e+03   4.33602e+01   2.73491e+03   1.58564e-02   3.65597e-04   5.79705e-06   3.65643e-04   6.90100e-01   4.35219e+01   4.35274e+01
            41   3.22560e+01   5.01796e+02   1.12202e+01   2.93471e+00   2.30199e+00   1.66142e-02   5.58827e+00   6.09036e+01   3.50000e+01   2.73783e+03   4.35790e+01   2.73817e+03   1.59174e-02   3.65161e-04   5.81240e-06   3.65207e-04   6.18155e-01   3.88353e+01   3.88402e+01
            42   3.22399e+01   5.09149e+02   1.25893e+01   2.93024e+00   2.29599e+00   1.70243e-02   5.58850e+00   6.08686e+01   3.50000e+01   2.74122e+03   4.38442e+01   2.74157e+03   1.59944e-02   3.64708e-04   5.83329e-06   3.64755e-04   5.54283e-01   3.46548e+01   3.46593e+01
            43   3.22249e+01   5.16404e+02   1.41254e+01   2.93687e+00   2.29847e+00   1.74880e-02   5.58874e+00   6.08338e+01   3.50000e+01   2.74492e+03   4.41518e+01   2.74527e+03   1.60849e-02   3.64215e-04   5.85837e-06   3.64262e-04   4.97472e-01   3.09279e+01   3.09319e+01
            44   3.22065e+01   5.23636e+02   1.58489e+01   2.94163e+00   2.29919e+00   1.80252e-02   5.58898e+00   6.07996e+01   3.50000e+01   2.74899e+03   4.45504e+01   2.74936e+03   1.62061e-02   3.63674e-04   5.89373e-06   3.63722e-04   4.47375e-01   2.76054e+01   2.76090e+01
            45   3.21923e+01   5.30833e+02   1.77828e+01   2.95028e+00   2.30282e+00   1.86188e-02   5.58923e+00   6.07662e+01   3.50000e+01   2.75323e+03   4.49634e+01   2.75360e+03   1.63311e-02   3.63113e-04   5.93005e-06   3.63161e-04   4.02420e-01   2.46413e+01   2.46445e+01
            46   3.21729e+01   5.38013e+02   1.99526e+01   2.94634e+00   2.29682e+00   1.93206e-02   5.58947e+00   6.07336e+01   3.50000e+01   2.75719e+03   4.55275e+01   2.75756e+03   1.65123e-02   3.62589e-04   5.98718e-06   3.62639e-04   3.63157e-01   2.19931e+01   2.19961e+01
            47   3.21559e+01   5.45117e+02   2.23872e+01   2.95276e+00   2.29932e+00   2.00474e-02   5.58971e+00   6.07032e+01   3.50000e+01   2.76054e+03   4.59481e+01   2.76092e+03   1.66446e-02   3.62148e-04   6.02781e-06   3.62198e-04   3.26654e-01   1.96252e+01   1.96279e+01
            48   3.21383e+01   5.52232e+02   2.51189e+01   2.95909e+00   2.30277e+00   2.08181e-02   5.58994e+00   6.06735e+01   3.50000e+01   2.76244e+03   4.62424e+01   2.76282e+03   1.67397e-02   3.61898e-04   6.05806e-06   3.61949e-04   2.92995e-01   1.75030e+01   1.75054e+01
            49   3.21221e+01   5.59324e+02   2.81838e+01   2.96126e+00   2.30412e+00   2.14075e-02   5.59018e+00   6.06441e+01   3.50000e+01   2.76273e+03   4.56583e+01   2.76311e+03   1.65265e-02   3.61862e-04   5.98032e-06   3.61911e-04   2.57834e-01   1.56012e+01   1.56034e+01
            50   3.21067e+01   5.66411e+02   3.16228e+01   2.95815e+00   2.30176e+00   2.20039e-02   5.59042e+00   6.06152e+01   3.50000e+01   2.76244e+03   4.47842e+01   2.76280e+03   1.62119e-02   3.61904e-04   5.86714e-06   3.61952e-04   2.25395e-01   1.39031e+01   1.39049e+01
            51   3.20914e+01   5.73478e+02   3.54813e+01   2.96594e+00   2.30766e+00   2.22468e-02   5.59067e+00   6.05868e+01   3.50000e+01   2.76240e+03   4.24466e+01   2.76273e+03   1.53659e-02   3.61919e-04   5.56119e-06   3.61961e-04   1.90398e-01   1.23910e+01   1.23925e+01
            52   3.20766e+01   5.80527e+02   3.98107e+01   2.96837e+00   2.30916e+00   2.26861e-02   5.59092e+00   6.05571e+01   3.50000e+01   2.76259e+03   4.03611e+01   2.76288e+03   1.46099e-02   3.61902e-04   5.28735e-06   3.61941e-04   1.61355e-01   1.10443e+01   1.10454e+01
            53   3.20600e+01   5.87553e+02   4.46684e+01   2.93923e+00   2.28603e+00   2.33128e-02   5.59120e+00   6.05265e+01   3.50000e+01   2.76281e+03   3.84486e+01   2.76307e+03   1.39165e-02   3.61881e-04   5.03611e-06   3.61916e-04   1.36994e-01   9.84398e+00   9.84493e+00
            54   3.20453e+01   5.94547e+02   5.01187e+01   2.95252e+00   2.29542e+00   2.49392e-02   5.59148e+00   6.04948e+01   3.50000e+01   2.76352e+03   3.92605e+01   2.76379e+03   1.42067e-02   3.61785e-04   5.13978e-06   3.61821e-04   1.24674e-01   8.77571e+00   8.77659e+00
            55   3.20274e+01   6.01547e+02   5.62341e+01   2.95779e+00   2.29712e+00   2.77395e-02   5.59178e+00   6.04624e+01   3.50000e+01   2.76603e+03   4.33227e+01   2.76637e+03   1.56624e-02   3.61440e-04   5.66102e-06   3.61484e-04   1.22613e-01   7.82848e+00   7.82944e+00
            56   3.20001e+01   6.10021e+02   6.30957e+01   2.96620e+00   2.30179e+00   3.02964e-02   5.59210e+00   6.04284e+01   3.50000e+01   2.76763e+03   4.59935e+01   2.76801e+03   1.66184e-02   3.61220e-04   6.00289e-06   3.61270e-04   1.16016e-01   6.98117e+00   6.98213e+00
            57   3.19752e+01   6.18480e+02   7.07946e+01   2.96868e+00   2.29989e+00   3.34653e-02   5.59243e+00   6.03932e+01   3.50000e+01   2.77171e+03   5.00039e+01   2.77216e+03   1.80408e-02   3.60671e-04   6.50681e-06   3.60730e-04   1.12415e-01   6.23114e+00   6.23215e+00
            58   3.19459e+01   6.26944e+02   7.94328e+01   2.97547e+00   2.29979e+00   3.69318e-02   5.59277e+00   6.03577e+01   3.50000e+01   2.77759e+03   5.42636e+01   2.77812e+03   1.95362e-02   3.59887e-04   7.03083e-06   3.59956e-04   1.08725e-01   5.56530e+00   5.56636e+00
            59   3.19202e+01   6.35386e+02   8.91251e+01   2.98414e+00   2.30179e+00   3.99800e-02   5.59307e+00   6.03264e+01   3.50000e+01   2.78224e+03   5.63119e+01   2.78281e+03   2.02398e-02   3.59276e-04   7.27167e-06   3.59350e-04   1.00559e-01   4.96837e+00   4.96939e+00
]8[JAL03-01_Freq0.1-100_
